Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,11,Hard,29,18,11,62.1%,8,6,2,75.0%,2016,2026,R16,26,1.08,5.3%,4.3%,63.4%,65.8%,48.0%,59.2%,44.0%,57.8%,45.5%
Roland Garros,10,Clay,21,11,10,52.4%,10,3,7,30.0%,2016,2025,SF,20,1.06,4.4%,4.9%,58.3%,62.8%,45.3%,55.5%,47.3%,55.7%,49.5%
Wimbledon,9,Grass,23,14,9,60.9%,6,4,2,66.7%,2016,2025,R32,20,1.09,5.6%,4.5%,59.3%,69.2%,48.1%,60.6%,43.0%,58.2%,43.4%
US Open,11,Hard,30,19,11,63.3%,5,3,2,60.0%,2015,2025,SF,26,1.08,6.5%,5.9%,60.2%,68.9%,48.3%,60.7%,42.5%,61.1%,41.1%
Olympics,2,,6,4,2,66.7%,1,0,1,0.0%,2021,2024,R16,3,1.32,4.2%,5.7%,74.5%,56.3%,46.3%,53.8%,60.8%,52.0%,67.7%
Fed Cup,6,,17,7,10,41.2%,0,0,0,-,2012,2019,,6,1.37,3.6%,6.7%,58.5%,73.2%,48.6%,63.0%,50.5%,62.1%,51.7%
Miami,10,Hard,22,12,10,54.5%,6,3,3,50.0%,2016,2026,SF,22,1.06,4.2%,4.5%,61.7%,64.3%,49.4%,58.6%,44.0%,61.9%,42.9%
Indian Wells,10,Hard,30,20,10,66.7%,3,0,3,0.0%,2016,2026,F,30,1.03,3.7%,5.4%,60.2%,66.2%,42.6%,56.8%,44.5%,57.3%,48.1%
Doha,9,Hard,24,15,9,62.5%,5,3,2,60.0%,2013,2026,SF,24,1.06,4.5%,3.6%,64.5%,64.5%,48.6%,58.9%,43.7%,57.2%,46.3%
Adelaide,3,Hard,7,3,4,42.9%,2,1,1,50.0%,2020,2026,R16,7,1.04,5.9%,6.9%,61.3%,65.4%,45.1%,57.6%,44.2%,54.7%,46.4%
United Cup,3,Hard,12,8,4,66.7%,2,2,0,100.0%,2023,2026,SF,8,1.30,6.0%,5.8%,58.4%,74.0%,47.6%,63.0%,48.2%,57.1%,42.1%
Tokyo,2,Hard,6,4,2,66.7%,1,0,1,0.0%,2023,2025,SF,6,1.16,7.2%,2.0%,59.5%,65.2%,52.5%,60.1%,46.2%,54.8%,41.5%
