Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,30,15,15,50.0%,32-35,47.8%,311-318,49.4%,3-5,37.5%,27,66.1%,32.4%,4.1%,3.8%,63.0%,61.8%,48.4%,56.9%,42.7%,49.9%,0.99
Clay,11,5,6,45.5%,11-12,47.8%,104-106,49.5%,2-1,66.7%,11,66.3%,32.0%,2.9%,4.6%,61.2%,65.7%,44.4%,57.5%,43.5%,50.4%,1.02
Grass,6,3,3,50.0%,7-6,53.8%,58-68,46.0%,2-0,100.0%,6,69.4%,21.0%,5.9%,5.1%,54.8%,67.4%,47.0%,58.2%,39.3%,48.6%,0.94
Grand Slams,8,4,4,50.0%,8-8,50.0%,68-72,48.6%,0-1,0.0%,8,60.0%,37.7%,3.7%,6.0%,66.8%,59.0%,46.9%,55.0%,44.7%,49.8%,0.99
Premiers,11,4,7,36.4%,9-14,39.1%,106-127,45.5%,3-2,60.0%,11,64.3%,25.7%,5.2%,4.6%,58.6%,64.5%,44.6%,56.3%,40.1%,48.4%,0.92
Internationals,7,3,4,42.9%,8-9,47.1%,69-76,47.6%,0-0,-,4,65.1%,21.4%,4.1%,3.7%,59.5%,62.3%,45.4%,55.4%,39.6%,47.6%,0.89
Semi-finals,1,0,1,0.0%,1-2,33.3%,11-15,42.3%,0-0,-,1,53.8%,30.8%,0.0%,3.3%,63.3%,54.4%,51.5%,53.3%,40.3%,47.5%,0.86
Quarter-finals,3,1,2,33.3%,2-5,28.6%,29-40,42.0%,0-0,-,2,61.5%,30.8%,2.6%,3.7%,65.8%,64.8%,35.4%,54.7%,40.4%,48.1%,0.89
vs Righties,43,22,21,51.2%,48-47,50.5%,445-450,49.7%,7-5,58.3%,40,67.5%,31.1%,4.2%,4.2%,61.5%,63.9%,47.3%,57.5%,42.6%,50.1%,1.00
vs Lefties,3,0,3,0.0%,0-6,0.0%,15-37,28.8%,0-1,0.0%,3,40.0%,19.2%,1.9%,4.3%,62.7%,47.5%,45.0%,46.6%,36.1%,41.2%,0.68
vs Top 10,9,3,6,33.3%,6-13,31.6%,79-99,44.4%,0-2,0.0%,8,64.6%,28.7%,4.7%,2.6%,64.3%,61.3%,48.2%,56.6%,41.5%,49.1%,0.96
