Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2026 Indian Wells R32,L vs Swiatek,0.0%,-,4.1%,80.0%,15.9%,31.3%,0.0%,8.1%,50.0%,2.6%,25.0%,60,55
2026 Doha QF,W vs Swiatek,0.0%,-,5.9%,45.5%,15.1%,21.7%,50.0%,9.6%,20.0%,2.7%,50.0%,-27,-35
2026 Australian Open R64,L vs Andreeva,0.0%,-,8.4%,87.5%,8.5%,18.2%,0.0%,5.9%,11.8%,1.4%,66.7%,31,16
2025 US Open R64,W vs Bondar,0.0%,-,4.0%,100.0%,18.2%,36.0%,0.0%,5.1%,14.3%,0.0%,-,26,56
2025 s Hertogenbosch R32,W vs Koevermans,0.0%,-,11.2%,71.4%,17.9%,29.4%,0.0%,8.3%,100.0%,1.9%,66.7%,23,33
2025 Charleston R32,L vs Zheng,0.0%,-,3.4%,100.0%,8.2%,10.5%,0.0%,9.5%,0.0%,0.0%,-,32,23
2025 Charleston R64,W vs Stakusic,0.0%,-,11.2%,91.7%,9.2%,21.4%,0.0%,9.1%,66.7%,1.7%,25.0%,-11,-14
2025 Miami R32,L vs Gauff,0.0%,-,11.7%,50.0%,11.6%,37.5%,0.0%,0.0%,0.0%,0.9%,0.0%,-2,-33
2025 Indian Wells R32,L vs Gauff,0.0%,-,6.7%,44.4%,8.4%,12.5%,66.7%,7.8%,15.4%,0.4%,0.0%,45,40
2025 Doha R32,L vs Swiatek,0.0%,-,4.8%,60.0%,9.2%,20.0%,0.0%,10.8%,27.8%,1.4%,33.3%,28,21
2024 Wimbledon R32,L vs Raducanu,0.0%,-,6.6%,87.5%,20.3%,20.0%,33.3%,10.4%,50.0%,2.3%,25.0%,113,114
2024 Wimbledon R128,W vs Kessler,0.0%,-,8.3%,100.0%,16.5%,29.4%,100.0%,10.0%,0.0%,3.6%,33.3%,130,117
2024 Charleston SF,L vs Collins,0.0%,-,3.6%,100.0%,10.4%,16.7%,0.0%,5.6%,25.0%,1.4%,50.0%,37,26
2024 Charleston QF,W vs Kudermetova,0.0%,-,5.6%,100.0%,9.0%,4.5%,33.3%,2.9%,33.3%,0.9%,100.0%,-76,-54
2024 Charleston R32,W vs Tomova,0.0%,-,7.7%,88.9%,11.8%,41.7%,0.0%,12.0%,26.7%,1.7%,25.0%,-3,30
2024 Miami QF,L vs Rybakina,0.0%,-,5.0%,81.8%,17.7%,28.6%,0.0%,8.2%,38.5%,0.6%,50.0%,13,21
2024 Indian Wells F,L vs Swiatek,0.0%,-,8.0%,28.6%,13.5%,21.4%,0.0%,2.0%,0.0%,0.6%,0.0%,-22,-47
2024 Indian Wells SF,W vs Gauff,0.0%,-,5.9%,76.9%,8.9%,25.0%,50.0%,12.4%,20.5%,0.8%,0.0%,-42,-29
2024 Australian Open R64,L vs Avanesyan,0.0%,-,11.6%,70.6%,12.0%,27.7%,0.0%,6.7%,20.0%,0.8%,100.0%,-25,-49
2024 United Cup QF,W vs Kerber,0.0%,-,4.8%,100.0%,19.8%,36.8%,11.1%,12.9%,33.3%,1.4%,33.3%,44,25
Last 52 Weeks (7 matches),,0.0%,-,6.8%,77.6%,13.1%,24.5%,10.0%,7.9%,19.5%,1.5%,45.5%,13,13
Career (118 matches),,0.0%,100.0%,6.7%,67.2%,13.1%,18.5%,11.2%,9.0%,24.9%,1.2%,35.9%,6,13
