Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,313,173,140,55.3%,392-330,54.3%,3451-3297,51.1%,36-35,50.7%,295,68.7%,33.2%,4.9%,5.1%,60.3%,65.3%,46.8%,57.9%,43.1%,50.4%,1.02
Clay,117,67,50,57.3%,150-115,56.6%,1287-1151,52.8%,12-13,48.0%,112,68.3%,39.7%,4.2%,4.5%,61.5%,63.9%,47.4%,57.5%,45.5%,51.5%,1.07
Grass,51,27,24,52.9%,65-52,55.6%,577-536,51.8%,10-4,71.4%,51,72.8%,30.4%,5.9%,4.6%,58.6%,68.7%,48.3%,60.3%,41.9%,51.1%,1.05
Grand Slams,93,53,40,57.0%,125-90,58.1%,1086-949,53.4%,13-12,52.0%,92,71.1%,36.5%,5.5%,4.9%,60.5%,66.6%,47.4%,59.0%,44.1%,51.5%,1.08
Premiers,193,111,82,57.5%,249-191,56.6%,2142-1985,51.9%,21-23,47.7%,189,69.1%,34.0%,5.2%,5.0%,59.7%,65.8%,47.2%,58.3%,43.2%,50.7%,1.04
Internationals,83,42,41,50.6%,99-93,51.6%,888-888,50.0%,12-7,63.2%,79,66.7%,33.0%,4.1%,4.8%,62.0%,63.2%,47.0%,57.1%,43.4%,50.2%,1.01
Finals,10,2,8,20.0%,5-17,22.7%,80-124,39.2%,0-1,0.0%,9,54.4%,25.8%,4.1%,5.4%,61.0%,60.3%,41.6%,53.0%,39.7%,46.3%,0.85
Semi-finals,36,10,26,27.8%,30-54,35.7%,367-438,45.6%,2-6,25.0%,35,62.0%,28.8%,3.4%,5.2%,58.2%,61.9%,46.1%,55.3%,41.1%,48.2%,0.92
Quarter-finals,50,34,16,68.0%,74-45,62.2%,601-528,53.2%,10-3,76.9%,48,71.5%,34.6%,4.9%,4.5%,59.6%,67.8%,46.7%,59.2%,43.1%,51.3%,1.06
vs Righties,431,237,194,55.0%,541-449,54.6%,4759-4485,51.5%,51-48,51.5%,409,68.6%,34.6%,4.7%,4.9%,60.5%,65.0%,46.8%,57.8%,43.6%,50.7%,1.03
vs Lefties,48,28,20,58.3%,62-48,56.4%,531-493,51.9%,7-4,63.6%,47,72.0%,32.3%,5.6%,4.9%,59.5%,67.7%,49.5%,60.3%,42.8%,51.4%,1.08
vs Top 10,78,30,48,38.5%,75-111,40.3%,819-960,46.0%,14-13,51.9%,74,65.3%,27.8%,4.3%,4.8%,59.9%,63.6%,46.0%,56.5%,40.8%,48.6%,0.94
