Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2011 Bastad F,W vs Ferrer,0.0%,-,10.0%,90.0%,18.8%,16.2%,0.0%,7.7%,18.2%,0.0%,-,28,49
2011 Marseille F,W vs Cilic,0.0%,-,4.1%,75.0%,13.3%,16.7%,0.0%,18.3%,45.5%,0.0%,-,68,77
2011 Australian Open R16,L vs Dolgopolov,0.0%,-,9.5%,69.6%,15.0%,15.1%,20.0%,10.3%,25.6%,0.5%,0.0%,15,9
2011 Brisbane F,W vs Roddick,0.0%,-,8.3%,50.0%,16.5%,12.8%,8.3%,5.7%,18.8%,0.0%,-,-21,30
2011 Brisbane R16,W vs Berrer,3.0%,100.0%,10.6%,73.3%,14.4%,16.1%,21.4%,8.6%,23.1%,0.0%,-,30,16
2010 Tour Finals RR,L vs Federer,1.7%,100.0%,8.0%,54.5%,18.5%,15.2%,0.0%,1.7%,0.0%,0.0%,-,-4,14
2010 Tour Finals RR,L vs Murray,0.0%,-,26.9%,58.6%,11.3%,10.5%,7.1%,3.2%,7.7%,0.0%,-,-56,-36
2010 Paris SF,W vs Llodra,0.0%,-,10.2%,80.0%,17.4%,20.0%,13.0%,19.4%,33.3%,0.0%,-,126,96
2010 Paris F,W vs Monfils,2.0%,100.0%,15.2%,88.2%,19.2%,22.2%,28.6%,12.2%,45.5%,0.0%,-,48,106
2010 Shanghai QF,L vs Federer,4.8%,50.0%,8.3%,28.6%,7.1%,8.0%,0.0%,0.0%,0.0%,0.0%,-,41,14
2010 US Open QF,L vs Federer,0.0%,-,8.2%,40.0%,10.2%,14.6%,16.7%,12.3%,25.0%,0.0%,-,-25,-26
2010 Roland Garros F,L vs Nadal,0.0%,-,10.5%,63.2%,14.4%,20.8%,11.1%,9.8%,6.7%,0.3%,100.0%,58,37
2010 Roland Garros SF,W vs Berdych,0.0%,-,6.1%,77.8%,21.0%,19.4%,33.3%,9.4%,22.5%,0.2%,0.0%,77,71
2010 Roland Garros QF,W vs Federer,0.9%,100.0%,10.8%,69.2%,20.9%,17.8%,33.3%,8.2%,23.1%,0.6%,0.0%,36,49
2010 Miami SF,L vs Berdych,0.0%,-,7.1%,28.6%,6.5%,0.0%,0.0%,1.6%,0.0%,0.0%,-,21,26
2010 Indian Wells SF,L vs Roddick,0.0%,-,8.2%,76.9%,7.1%,5.3%,11.1%,11.2%,35.3%,0.4%,0.0%,30,47
2010 Rotterdam F,W vs Youzhny,0.0%,-,10.6%,100.0%,11.1%,15.0%,10.0%,9.1%,28.6%,0.0%,-,-10,26
2009 Tour Finals SF,L vs Del Potro,0.0%,-,9.5%,52.6%,12.7%,14.5%,11.1%,4.1%,16.7%,0.0%,-,59,66
2009 Tour Finals RR,W vs Nadal,0.0%,-,19.7%,68.0%,13.7%,16.1%,5.9%,11.0%,23.5%,0.0%,-,-10,13
2009 Tour Finals RR,L vs Davydenko,0.0%,-,11.5%,60.0%,9.8%,6.0%,14.3%,7.9%,13.6%,0.0%,-,-3,31
Career (29 matches),,0.6%,69.2%,10.2%,67.6%,14.3%,14.9%,15.3%,8.8%,20.1%,0.1%,27.3%,21,32
