Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2011 Bastad F,W vs Ferrer,5.1,3.5,6.3,54.9%,64.7%,50.0%,92.9%,44.5%,5.5%,14.5,14.5,3.5,2.9
2011 Marseille F,W vs Cilic,3.1,3.2,3.0,55.7%,61.8%,25.0%,54.5%,50.2%,8.9%,5.5,4.5,13.5,12.1
2011 Australian Open R16,L vs Dolgopolov,4.3,4.2,4.4,44.1%,50.8%,40.0%,47.8%,56.2%,21.3%,8.0,3.4,14.0,9.5
2011 Brisbane F,W vs Roddick,4.5,3.0,5.7,56.3%,53.8%,66.7%,60.0%,55.5%,11.3%,18.0,13.8,-1.0,-1.1
2011 Brisbane R16,W vs Berrer,3.6,3.6,3.5,48.9%,68.8%,42.9%,46.2%,59.2%,5.0%,8.0,7.0,3.5,4.6
2010 Tour Finals RR,L vs Federer,3.9,4.1,3.8,49.4%,44.4%,64.3%,16.7%,54.8%,14.1%,12.0,10.3,-6.5,-7.6
2010 Tour Finals RR,L vs Murray,4.7,4.8,4.7,40.7%,50.0%,27.3%,55.6%,56.5%,7.7%,3.0,2.7,-1.5,-1.8
2010 Paris SF,W vs Llodra,2.7,3.2,2.1,48.4%,52.2%,54.5%,57.1%,59.2%,17.6%,7.0,5.5,1.5,2.1
2010 Paris F,W vs Monfils,3.6,3.6,3.7,56.5%,62.1%,50.0%,70.0%,54.5%,2.6%,13.5,15.0,-2.5,-3.4
2010 Shanghai QF,L vs Federer,3.5,4.2,2.7,40.4%,15.8%,30.0%,33.3%,58.1%,10.2%,-4.5,-6.8,-5.5,-12.8
2010 US Open QF,L vs Federer,3.8,4.2,3.4,38.8%,46.2%,76.9%,56.3%,57.0%,8.3%,4.0,2.5,4.0,3.6
2010 Roland Garros F,L vs Nadal,4.4,4.4,4.5,47.6%,47.2%,36.8%,33.3%,55.0%,7.6%,3.0,1.6,1.5,1.0
2010 Roland Garros SF,W vs Berdych,3.6,3.5,3.8,50.0%,51.9%,66.7%,57.1%,46.9%,5.5%,21.5,10.5,11.5,5.1
2010 Roland Garros QF,W vs Federer,3.4,3.8,3.0,43.0%,64.3%,57.1%,58.3%,52.5%,7.4%,22.0,13.8,-0.5,-0.4
2010 Miami SF,L vs Berdych,3.9,4.1,3.8,40.7%,27.8%,41.7%,20.0%,52.8%,2.6%,-12.5,-14.5,-6.5,-8.7
2010 Indian Wells SF,L vs Roddick,3.9,3.4,4.4,48.6%,44.0%,80.0%,50.0%,51.8%,5.7%,2.0,1.5,5.0,4.3
2010 Rotterdam F,W vs Youzhny,5.8,4.6,6.9,53.8%,61.1%,53.8%,66.7%,50.0%,3.5%,3.5,4.2,0.5,0.6
2009 Tour Finals SF,L vs Del Potro,3.4,3.6,3.2,50.4%,42.9%,50.0%,30.8%,58.6%,0.9%,2.0,1.3,-5.0,-4.5
2009 Tour Finals RR,W vs Nadal,4.9,4.0,6.0,51.7%,69.4%,44.4%,33.3%,52.5%,1.6%,10.5,7.6,0.0,0.0
2009 Tour Finals RR,L vs Davydenko,4.3,4.0,4.6,51.5%,54.5%,30.4%,31.6%,60.3%,5.6%,-2.0,-1.1,-2.5,-2.1
Career (29 matches),,3.9,3.8,4.0,48.5%,51.1%,52.0%,48.7%,55.1%,9.5%,7.3,5.0,0.7,0.6
