Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2009,5,5,0,100.0%,10-1,90.9%,69-40,63.3%,2-1,66.7%,0,,,,,,,,,,,,W (Sunrise)
2006,5,5,0,100.0%,10-0,100.0%,61-31,66.3%,1-0,100.0%,0,,,,,,,,,,,,W (Heilbronn)
2003,39,25,14,64.1%,58-35,62.4%,498-414,54.6%,9-11,45.0%,0,,,,,,,,,,,,W (2x)
2002,24,16,8,66.7%,33-19,63.5%,281-244,53.5%,8-4,66.7%,0,,,,,,,,,,,,SF (2x)
2001,2,0,2,0.0%,2-4,33.3%,32-34,48.5%,0-3,0.0%,0,,,,,,,,,,,,R32 (2x)
Career,75,51,24,68.0%,113-59,65.7%,941-763,55.2%,20-19,51.3%,0,,,,,,,,,,,,
