Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2011,13,2120,5,2128,5,2068,4,2083,7,1925,,,,
2010,5,5580,5,2104,5,2036,4,2048,7,1902,1235,10,,
2009,8,3410,8,2084,8,2000,7,2030,7,1860,262,240,80,1618
2008,17,1325,11,2000,12,1914,13,1914,18,1795,134,440,39,1719
2007,41,715,14,1955,13,1898,17,1884,13,1803,241,240,,
2006,25,1028,21,1905,19,1850,28,1824,20,1766,416,111,,
2005,77,505,39,1824,40,1763,60,1718,53,1668,217,230,,
2004,34,950,23,1888,31,1800,55,1744,31,1737,231,195,,
2003,60,598,52,1808,43,1763,68,1702,35,1700,473,81,,
2002,163,223,124,1659,103,1634,203,1485,,,745,33,,
2001,444,56,,,,,,,,,942,17,,
