Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2024 Hua Hin R32,L vs Wang,4.2,5.1,3.3,32.5%,47.4%,23.1%,0.0%,61.7%,5.9%,-1.0,-1.4,-3.0,-6.4
2022 Prague SF,L vs Potapova,4.4,4.8,4.0,46.5%,27.6%,36.4%,28.6%,50.0%,7.4%,0.0,0.0,-1.5,-2.0
2021 Parma F,L vs Gauff,5.0,5.7,4.2,54.9%,40.0%,15.4%,23.5%,52.3%,6.3%,0.0,0.0,-8.5,-8.1
2020 Australian Open R16,L vs Jabeur,4.1,3.8,4.4,47.1%,44.1%,46.2%,44.4%,52.0%,11.3%,6.0,5.8,0.0,0.0
2020 Australian Open R32,W vs Williams,3.8,3.9,3.8,52.1%,57.7%,40.9%,50.0%,60.3%,2.1%,9.5,4.5,16.5,12.0
2019 Wuhan R32,W vs Bouzkova,6.0,6.2,5.8,59.6%,48.5%,60.0%,60.9%,62.7%,4.1%,15.5,7.8,3.5,3.1
2019 US Open QF,L vs Williams,3.7,3.4,4.0,21.1%,19.0%,0.0%,60.0%,52.2%,4.7%,-4.0,-8.9,-7.0,-17.5
2019 US Open R16,W vs Barty,5.9,7.2,4.4,47.1%,74.1%,36.8%,57.7%,59.9%,7.2%,7.0,3.9,5.5,4.8
2019 US Open R32,W vs Ferro,5.6,5.2,6.0,59.3%,54.1%,40.9%,56.0%,47.9%,3.2%,11.5,6.8,9.5,5.2
2019 Miami QF,L vs Halep,6.4,7.0,5.8,53.3%,43.6%,43.5%,44.4%,46.8%,4.1%,0.5,0.3,0.5,0.2
2019 Miami R16,W vs Wang,6.2,6.0,6.4,50.0%,65.5%,43.5%,48.3%,68.6%,6.5%,5.0,2.0,2.5,2.2
2019 Indian Wells R16,L vs Andreescu,4.5,4.7,4.4,45.6%,40.7%,46.2%,56.3%,57.6%,10.7%,2.0,1.5,-4.0,-4.3
2019 Indian Wells R32,W vs Mertens,5.3,5.5,5.1,52.9%,48.3%,51.1%,48.3%,54.9%,9.3%,0.0,0.0,6.5,3.0
2019 Indian Wells 125K SF,L vs Golubic,4.8,5.0,4.7,57.0%,33.3%,42.3%,30.4%,45.8%,10.2%,-0.5,-0.3,-9.0,-5.7
2018 Zhuhai F,L vs Barty,4.8,5.3,4.2,52.5%,33.3%,64.3%,28.6%,52.0%,9.8%,10.0,8.1,-9.0,-8.3
2018 Zhuhai RR,W vs Keys,3.8,3.8,3.8,51.2%,57.1%,30.8%,66.7%,50.4%,9.4%,4.5,3.8,-2.0,-1.9
2018 Zhuhai RR,L vs Kasatkina,6.1,6.2,6.0,56.9%,46.2%,29.4%,50.0%,51.2%,3.6%,-2.5,-1.1,-4.0,-1.9
2018 Hong Kong F,L vs Yastremska,3.2,3.9,2.8,43.9%,29.6%,25.0%,50.0%,49.2%,12.5%,-2.5,-4.2,-4.0,-7.1
2018 Hong Kong SF,W vs Muguruza,4.5,4.6,4.3,46.7%,50.9%,66.7%,66.7%,50.7%,4.2%,24.0,11.3,15.5,7.7
2018 Beijing SF,L vs Wozniacki,6.4,7.5,5.5,40.5%,24.2%,52.9%,54.2%,54.7%,4.6%,12.0,6.6,-13.5,-9.4
Career (37 matches),,4.8,5.1,4.6,50.9%,46.2%,46.6%,47.0%,53.6%,6.1%,4.9,3.3,-0.4,-0.3
