Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2024 Hua Hin R32,L vs Wang,2.6%,7.7%,35.1%,0.0%,10.5%,36.8%,40.0%,0.0%,0.0%,5.3%,5.3%,33.3%,12.5%,18.2%,0.0%,-61
2022 Prague SF,L vs Potapova,13.0%,21.7%,35.1%,12.5%,25.0%,35.7%,42.9%,50.0%,66.7%,18.2%,18.2%,33.3%,14.3%,100.0%,100.0%,46
2021 Parma F,L vs Gauff,17.9%,26.8%,40.0%,20.5%,33.3%,38.7%,47.6%,22.2%,50.0%,12.5%,12.5%,42.9%,28.6%,66.7%,75.0%,-33
2020 Australian Open R16,L vs Jabeur,20.3%,28.1%,51.0%,20.5%,30.8%,58.1%,44.4%,19.0%,20.0%,21.7%,26.1%,38.9%,45.5%,33.3%,33.3%,-7
2020 Australian Open R32,W vs Williams,30.7%,36.0%,51.3%,32.9%,39.7%,53.1%,17.1%,47.4%,0.0%,27.5%,30.0%,48.3%,23.5%,43.5%,25.0%,-74
2019 Wuhan R32,W vs Bouzkova,20.0%,29.1%,52.3%,25.0%,38.9%,51.9%,35.7%,22.7%,0.0%,10.5%,10.5%,52.9%,36.4%,62.5%,-,-104
2019 US Open QF,L vs Williams,10.0%,10.0%,16.0%,11.8%,11.8%,0.0%,10.0%,14.3%,33.3%,9.1%,9.1%,40.0%,0.0%,28.6%,-,-23
2019 US Open R16,W vs Barty,15.2%,16.7%,61.8%,17.4%,19.6%,60.5%,40.0%,19.2%,25.0%,10.5%,10.5%,64.7%,30.0%,55.6%,50.0%,-43
2019 US Open R32,W vs Ferro,19.4%,31.9%,62.3%,23.6%,38.2%,59.5%,52.0%,33.3%,66.7%,8.3%,16.7%,72.7%,50.0%,60.0%,0.0%,-51
2019 Miami QF,L vs Halep,9.7%,12.5%,41.3%,14.3%,16.3%,38.1%,40.0%,29.2%,0.0%,0.0%,4.8%,47.6%,33.3%,66.7%,-,-119
2019 Miami R16,W vs Wang,18.2%,22.7%,63.3%,23.1%,30.8%,66.7%,40.0%,54.2%,0.0%,13.6%,13.6%,57.9%,53.8%,77.8%,-,9
2019 Indian Wells R16,L vs Andreescu,19.0%,29.3%,47.8%,28.1%,43.8%,43.5%,41.2%,13.3%,0.0%,8.0%,12.0%,52.2%,41.7%,38.5%,0.0%,-57
2019 Indian Wells R32,W vs Mertens,18.3%,23.3%,48.5%,17.1%,23.7%,52.4%,39.4%,37.2%,33.3%,20.9%,23.3%,41.2%,60.0%,56.5%,33.3%,-76
2019 Indian Wells 125K SF,L vs Golubic,25.3%,30.1%,38.3%,34.0%,40.0%,42.4%,50.0%,46.2%,28.6%,12.9%,16.1%,33.3%,37.5%,33.3%,25.0%,-31
2018 Zhuhai F,L vs Barty,12.7%,23.8%,45.5%,17.1%,34.1%,52.9%,52.9%,41.7%,66.7%,4.5%,4.5%,33.3%,23.1%,66.7%,100.0%,-104
2018 Zhuhai RR,W vs Keys,29.5%,33.3%,37.7%,35.8%,41.5%,47.1%,23.1%,25.9%,42.9%,17.4%,17.4%,21.1%,25.0%,27.3%,50.0%,-7
2018 Zhuhai RR,L vs Kasatkina,13.9%,19.0%,36.4%,23.3%,30.2%,39.4%,36.8%,29.2%,20.0%,2.9%,5.9%,33.3%,27.8%,31.3%,40.0%,-87
2018 Hong Kong F,L vs Yastremska,21.4%,26.2%,28.1%,26.9%,34.6%,42.1%,46.2%,30.8%,100.0%,13.3%,13.3%,7.7%,14.3%,50.0%,60.0%,-28
2018 Hong Kong SF,W vs Muguruza,26.5%,30.8%,48.8%,31.8%,37.6%,50.0%,48.7%,34.8%,28.6%,14.3%,14.3%,45.8%,60.0%,30.8%,33.3%,25
2018 Beijing SF,L vs Wozniacki,8.0%,8.0%,40.9%,7.4%,7.4%,40.0%,50.0%,7.7%,0.0%,9.5%,9.5%,42.1%,40.0%,18.2%,0.0%,-19
Career (37 matches),,19.1%,25.2%,46.2%,21.8%,30.3%,49.2%,39.1%,32.4%,28.4%,15.3%,17.2%,41.1%,27.5%,48.4%,46.3%,-25
