Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2024,4,0,4,0.0%,1-8,11.1%,23-50,31.5%,0-0,-,4,41.7%,21.6%,1.7%,4.3%,60.9%,57.9%,31.1%,47.4%,39.0%,43.2%,0.74,R32 (Hua Hin)
2022,30,16,14,53.3%,35-36,49.3%,347-335,50.9%,2-8,20.0%,30,66.6%,36.5%,2.6%,2.3%,62.8%,61.5%,47.9%,56.4%,43.7%,50.1%,1.00,SF (2x)
2021,24,10,14,41.7%,26-33,44.1%,262-287,47.7%,3-1,75.0%,22,59.0%,36.3%,4.5%,4.6%,57.7%,61.1%,44.9%,54.3%,44.8%,49.5%,0.98,F (Parma)
2020,17,11,6,64.7%,24-15,61.5%,187-165,53.1%,2-2,50.0%,17,66.9%,39.9%,1.9%,2.6%,61.2%,61.8%,51.3%,57.7%,46.0%,51.9%,1.09,QF (2x)
2019,40,21,19,52.5%,49-40,55.1%,424-411,50.8%,6-2,75.0%,40,66.3%,35.1%,3.4%,3.1%,62.6%,63.1%,48.5%,57.6%,44.0%,50.8%,1.04,SF (New York)
2018,58,37,21,63.8%,78-50,60.9%,641-504,56.0%,1-3,25.0%,57,69.8%,43.4%,4.1%,2.8%,62.9%,64.7%,48.3%,58.6%,46.7%,52.5%,1.13,W (2x)
2017,48,29,19,60.4%,67-45,59.8%,557-482,53.6%,7-4,63.6%,48,65.7%,43.2%,3.9%,2.6%,63.3%,63.3%,49.0%,58.1%,46.1%,51.9%,1.10,W (Zhengzhou)
2016,24,11,13,45.8%,27-30,47.4%,238-247,49.1%,1-0,100.0%,20,60.4%,32.5%,3.1%,4.6%,62.7%,60.3%,43.9%,54.2%,41.8%,48.1%,0.91,QF (3x)
2015,19,5,14,26.3%,16-30,34.8%,190-234,44.8%,1-1,50.0%,10,57.1%,28.1%,3.5%,4.2%,64.4%,59.7%,46.1%,54.9%,37.7%,46.0%,0.84,R16 (Tianjin)
2014,7,4,3,57.1%,10-6,62.5%,76-64,54.3%,1-0,100.0%,2,-,-,5.4%,1.4%,58.1%,65.1%,54.8%,60.8%,43.6%,52.7%,1.11,
2013,6,4,2,66.7%,8-5,61.5%,63-59,51.6%,2-0,100.0%,1,-,-,2.4%,1.2%,69.4%,59.3%,57.7%,58.8%,47.6%,52.7%,1.16,R16 (Kuala Lumpur)
2012,5,0,5,0.0%,1-10,9.1%,33-65,33.7%,0-0,-,3,-,-,0.0%,3.2%,63.9%,52.9%,38.5%,47.7%,39.2%,43.6%,0.75,
Career,282,148,134,52.5%,342-308,52.6%,3041-2903,51.2%,26-21,55.3%,254,65.2%,38.4%,3.5%,3.1%,62.3%,62.4%,47.6%,56.8%,44.6%,50.6%,1.03,
