Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2024 Hua Hin R32,L vs Wang,0.0%,-,1.3%,0.0%,10.8%,6.7%,0.0%,3.1%,20.0%,0.0%,-,-23,-76
2022 Prague SF,L vs Potapova,0.0%,-,8.9%,75.0%,9.2%,4.3%,100.0%,7.0%,12.5%,0.0%,-,-19,-35
2021 Parma F,L vs Gauff,0.0%,-,1.8%,50.0%,14.1%,18.4%,25.0%,1.1%,0.0%,1.7%,0.0%,-72,-65
2020 Australian Open R16,L vs Jabeur,0.0%,-,8.1%,70.0%,11.8%,16.2%,100.0%,4.9%,25.0%,0.0%,-,-88,-68
2020 Australian Open R32,W vs Williams,0.0%,-,4.3%,70.0%,12.4%,26.4%,0.0%,13.2%,33.3%,0.0%,-,-45,-23
2019 Wuhan R32,W vs Bouzkova,0.0%,-,8.9%,81.8%,10.9%,12.8%,28.6%,6.6%,37.5%,0.0%,-,-56,-55
2019 US Open QF,L vs Williams,0.0%,-,3.1%,50.0%,5.9%,22.2%,0.0%,4.0%,50.0%,0.0%,-,-132,-139
2019 US Open R16,W vs Barty,0.0%,-,6.5%,50.0%,4.3%,5.7%,0.0%,3.1%,14.3%,0.0%,-,-149,-139
2019 US Open R32,W vs Ferro,0.0%,-,2.1%,66.7%,12.1%,7.3%,0.0%,7.6%,33.3%,0.0%,-,-82,-57
2019 Miami QF,L vs Halep,0.0%,-,1.4%,50.0%,6.3%,9.1%,0.0%,5.3%,19.2%,0.2%,0.0%,-90,-94
2019 Miami R16,W vs Wang,0.0%,-,3.6%,60.0%,5.9%,8.3%,12.5%,7.6%,36.4%,0.0%,-,-88,-70
2019 Indian Wells R16,L vs Andreescu,0.0%,-,1.6%,100.0%,7.4%,22.2%,0.0%,10.0%,33.3%,0.4%,0.0%,-27,-30
2019 Indian Wells R32,W vs Mertens,0.0%,-,8.4%,75.0%,7.0%,15.4%,0.0%,8.4%,17.1%,0.9%,0.0%,-71,-77
2019 Indian Wells 125K SF,L vs Golubic,0.0%,-,8.9%,57.1%,3.2%,12.5%,0.0%,5.8%,4.3%,2.2%,0.0%,-55,-33
2018 Zhuhai F,L vs Barty,0.0%,-,6.5%,37.5%,11.7%,32.0%,0.0%,5.9%,23.5%,1.2%,0.0%,-16,-41
2018 Zhuhai RR,W vs Keys,0.0%,-,7.3%,45.5%,11.4%,8.3%,0.0%,6.8%,28.6%,0.8%,50.0%,-25,-16
2018 Zhuhai RR,L vs Kasatkina,0.0%,-,6.8%,72.7%,7.0%,10.6%,0.0%,6.2%,23.1%,0.7%,0.0%,-40,-27
2018 Hong Kong F,L vs Yastremska,0.0%,-,1.9%,50.0%,6.4%,0.0%,0.0%,5.7%,0.0%,0.0%,-,-99,-91
2018 Hong Kong SF,W vs Muguruza,0.0%,-,3.4%,50.0%,16.4%,14.0%,0.0%,11.7%,30.8%,0.0%,-,-32,-5
2018 Beijing SF,L vs Wozniacki,0.0%,-,7.2%,50.0%,12.1%,21.9%,33.3%,3.3%,4.5%,0.3%,0.0%,-3,-14
Career (37 matches),,0.0%,100.0%,6.3%,59.6%,9.4%,13.5%,13.4%,6.6%,21.8%,0.4%,2.7%,-47,-44
