Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,89,43,46,48.3%,94-104,47.5%,853-890,48.9%,6-5,54.5%,0,,,,,,,,,,,
Clay,388,243,145,62.6%,497-341,59.3%,3923-3361,53.9%,34-28,54.8%,0,,,,,,,,,,,
Grass,11,3,8,27.3%,6-16,27.3%,68-110,38.2%,1-1,50.0%,0,,,,,,,,,,,
Carpet,47,21,26,44.7%,46-56,45.1%,421-485,46.5%,2-2,50.0%,0,,,,,,,,,,,
Grand Slams,64,28,36,43.8%,61-78,43.9%,577-639,47.5%,6-4,60.0%,0,,,,,,,,,,,
Premiers,1,0,1,0.0%,0-2,0.0%,4-12,25.0%,0-0,-,0,,,,,,,,,,,
Finals,17,11,6,64.7%,22-11,66.7%,161-129,55.5%,0-2,0.0%,0,,,,,,,,,,,
Semi-finals,31,16,15,51.6%,33-32,50.8%,283-290,49.4%,4-3,57.1%,0,,,,,,,,,,,
Quarter-finals,68,32,36,47.1%,71-81,46.7%,639-694,47.9%,2-4,33.3%,0,,,,,,,,,,,
vs Righties,264,124,140,47.0%,267-311,46.2%,2407-2628,47.8%,24-20,54.5%,0,,,,,,,,,,,
vs Lefties,22,8,14,36.4%,17-31,35.4%,177-238,42.7%,1-0,100.0%,0,,,,,,,,,,,
vs Top 10,54,5,49,9.3%,18-100,15.3%,311-656,32.2%,1-3,25.0%,0,,,,,,,,,,,
