Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
1998,200,106,116,1656,122,1577,101,1629,,,,,,
1997,206,95,,,,,,,,,,,,
1996,80,279,61,1817,84,1679,48,1768,,,,,,
1995,108,15,84,1774,116,1641,76,1708,85,1599,,,,
1994,33,47,32,1931,63,1737,27,1860,47,1692,,,,
1993,56,27,53,1846,94,1670,34,1817,,,,,,
1992,34,32,29,1929,82,1691,21,1904,,,,,,
1991,27,36,27,1896,80,1687,21,1876,55,1644,,,,
1990,20,41,22,1887,74,1678,20,1870,57,1648,,,,
1989,26,38,35,1843,71,1658,20,1851,,,,,,
1988,21,38,24,1907,36,1735,13,1896,,,,,,
1987,18,35,20,1920,23,1788,11,1902,,,,,,
1986,73,10,73,1732,70,1645,31,1764,84,1590,,,,
1985,49,,38,1826,32,1733,22,1833,55,1658,,,,
1984,49,,44,1797,33,1720,39,1732,66,1626,,,,
1983,,,146,1558,,,101,1562,,,,,,
