Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2024 US Open Q2,L vs Hartono,75% (6/8),43% (3/7),0/0,0/0,50% (5/10),3/5,1/2,- (0/0),- (0/0)
2024 Australian Open Q1,W vs Yang,57% (8/14),100% (4/4),2/2,1/1,50% (1/2),0/0,0/0,80% (4/5),60% (3/5)
2023 US Open R128,L vs Tig,60% (9/15),43% (3/7),0/1,0/0,67% (6/9),1/3,0/1,36% (4/11),27% (3/11)
2023 Wimbledon R128,L vs Begu,47% (8/17),29% (2/7),1/2,0/0,55% (6/11),1/3,0/1,- (0/0),- (0/0)
2023 Roland Garros R128,L vs Shnaider,83% (5/6),43% (3/7),0/0,0/0,25% (2/8),0/2,0/1,- (0/0),- (0/0)
2023 Madrid R128,W vs Zhu,56% (9/16),38% (3/8),2/4,1/3,71% (5/7),0/0,0/0,100% (4/4),75% (3/4)
2023 Miami R64,L vs Gauff,67% (4/6),75% (3/4),0/0,0/0,44% (4/9),1/3,0/1,- (0/0),- (0/0)
2023 Miami R128,W vs Putintseva,83% (10/12),20% (2/10),2/5,1/1,- (0/0),0/0,0/0,60% (3/5),67% (4/6)
2022 Tampico QF,W vs Fernandez,88% (7/8),50% (5/10),2/4,1/2,50% (2/4),0/0,0/0,- (0/0),- (0/0)
2022 Chennai R16,W vs Kawa,75% (9/12),57% (4/7),2/4,1/1,60% (3/5),0/0,0/0,- (0/0),- (0/0)
2022 US Open R32,L vs Zhang,86% (6/7),- (0/0),0/0,0/0,63% (5/8),2/4,2/3,- (0/0),- (0/0)
2022 US Open R64,W vs Snigur,64% (9/14),38% (3/8),2/2,1/1,71% (5/7),0/0,0/0,67% (4/6),50% (3/6)
2022 US Open R128,W vs Frech,73% (8/11),57% (4/7),2/4,1/1,50% (1/2),0/0,0/0,- (0/0),- (0/0)
2022 Granby R32,W vs Mboko,100% (8/8),67% (4/6),2/2,1/1,0% (0/1),0/0,0/0,- (0/0),- (0/0)
2022 Wimbledon R128,L vs Kawa,69% (11/16),31% (4/13),1/2,0/0,50% (5/10),7/9,1/2,- (0/0),- (0/0)
2022 BJK Cup QLS R1: CAN vs LAT RR,W vs Vismane,79% (15/19),50% (3/6),2/2,1/1,67% (2/3),1/2,0/0,50% (3/6),20% (1/5)
2022 Australian Open R128,L vs Bouzkova,57% (4/7),0% (0/2),0/0,0/0,69% (9/13),4/6,0/1,- (0/0),- (0/0)
2021 US Open R128,L vs Svitolina,57% (4/7),20% (1/5),0/0,0/0,64% (7/11),1/3,0/1,- (0/0),- (0/0)
2021 Montreal R16,L vs Sabalenka,100% (4/4),0% (0/5),0/0,0/0,50% (4/8),1/3,1/2,- (0/0),- (0/0)
2021 Montreal R32,W vs Badosa,41% (9/22),50% (5/10),2/3,1/1,65% (11/17),0/1,0/0,- (0/0),- (0/0)
2024 (2 matches),,63.6%,63.6%,100.0%,100.0%,50.0%,60.0%,50.0%,80.0%,60.0%
2023 (6 matches),,62.5%,37.2%,41.7%,50.0%,52.3%,27.3%,0.0%,55.0%,47.6%
2022 (9 matches),,75.5%,45.8%,65.0%,85.7%,60.4%,66.7%,50.0%,58.3%,36.4%
2021 (6 matches),,58.7%,26.5%,28.6%,22.2%,52.9%,35.7%,20.0%,50.0%,40.0%
2019 (20 matches),,64.4%,47.1%,56.8%,62.5%,52.6%,44.4%,52.4%,87.5%,77.8%
Career (63 matches),,64.4%,43.8%,53.4%,52.8%,55.2%,46.9%,50.0%,58.4%,46.8%
