Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,10,Hard,18,8,10,44.4%,4,3,1,75.0%,2010,2025,R64,18,0.95,9.6%,5.4%,54.1%,67.8%,48.0%,58.7%,39.4%,53.2%,44.9%
Roland Garros,8,Clay,15,7,8,46.7%,3,1,2,33.3%,2010,2025,R32,15,0.95,5.8%,4.1%,59.3%,62.3%,47.9%,56.5%,41.2%,55.4%,44.1%
Wimbledon,6,Grass,7,1,6,14.3%,4,2,2,50.0%,2010,2025,R64,5,0.87,8.3%,5.4%,54.1%,69.0%,41.2%,56.2%,37.9%,56.9%,33.3%
US Open,8,Hard,22,14,8,63.6%,5,2,3,40.0%,2009,2025,R32,20,1.08,10.5%,4.5%,56.4%,70.6%,50.2%,61.7%,41.2%,62.6%,41.8%
Fed Cup,2,,6,2,4,33.3%,1,0,1,0.0%,2011,2019,,2,0.73,3.3%,5.7%,53.3%,50.8%,42.1%,46.7%,38.8%,56.0%,50.0%
Guadalajara,2,Hard,4,2,2,50.0%,0,0,0,-,2024,2025,R16,4,1.11,13.8%,5.4%,52.5%,70.8%,50.8%,61.3%,42.9%,57.7%,58.3%
Guadalajara 125,2,Hard,4,2,2,50.0%,1,1,0,100.0%,2024,2025,QF,4,1.03,10.0%,3.8%,54.7%,67.7%,44.2%,57.1%,44.4%,47.4%,54.1%
Cincinnati,3,Hard,5,2,3,40.0%,1,1,0,100.0%,2011,2025,R64,5,0.96,16.7%,8.2%,52.5%,71.9%,40.2%,56.8%,41.4%,52.3%,39.5%
Montreal,6,Hard,12,6,6,50.0%,2,2,0,100.0%,2006,2025,R16,11,0.95,8.4%,5.1%,55.5%,69.9%,47.0%,59.7%,38.3%,60.7%,36.6%
Washington,2,Hard,6,4,2,66.7%,1,0,1,0.0%,2022,2025,QF,6,1.12,7.9%,2.1%,60.7%,67.3%,54.3%,62.2%,42.3%,59.5%,44.0%
Puerto Vallarta 125,2,Hard,3,1,2,33.3%,1,0,1,0.0%,2024,2025,R16,3,0.96,14.1%,6.4%,56.4%,72.0%,46.1%,60.7%,37.8%,72.0%,41.2%
