Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2024 US Open Q2,L vs Hartono,29.4%,33.8%,37.2%,32.5%,40.0%,48.1%,44.4%,50.0%,75.0%,30.4%,30.4%,18.8%,0.0%,40.0%,33.3%,111
2024 Australian Open Q1,W vs Yang,50.8%,55.7%,44.4%,67.7%,71.0%,30.0%,62.5%,53.3%,-,37.0%,44.4%,52.9%,30.0%,29.4%,0.0%,17
2023 Roland Garros R128,L vs Shnaider,32.2%,40.7%,31.4%,50.0%,60.7%,35.7%,71.4%,14.3%,0.0%,19.2%,26.9%,28.6%,100.0%,35.7%,33.3%,67
2023 Madrid R128,W vs Zhu,26.5%,41.0%,50.8%,35.2%,50.0%,57.1%,62.5%,53.3%,50.0%,11.1%,25.9%,41.7%,21.4%,30.8%,50.0%,-21
2023 Miami R64,L vs Gauff,25.0%,39.3%,35.9%,37.5%,40.6%,35.0%,63.2%,23.1%,0.0%,9.5%,42.9%,36.8%,42.9%,35.7%,25.0%,-23
2023 Miami R128,W vs Putintseva,47.5%,59.3%,51.6%,52.8%,66.7%,58.8%,53.3%,47.6%,-,39.1%,47.8%,42.9%,40.0%,53.8%,-,-104
2022 Tampico QF,W vs Fernandez,26.0%,38.0%,53.3%,48.0%,52.0%,46.2%,61.5%,58.3%,100.0%,5.6%,33.3%,58.8%,28.6%,9.1%,0.0%,-61
2022 Chennai R16,W vs Kawa,18.5%,32.3%,56.6%,23.8%,35.7%,56.3%,71.4%,60.7%,33.3%,8.7%,26.1%,57.1%,6.7%,50.0%,100.0%,-104
2022 US Open R64,W vs Snigur,38.0%,45.6%,45.7%,55.1%,61.2%,45.5%,52.6%,40.0%,50.0%,11.1%,22.2%,45.8%,15.4%,28.6%,0.0%,-4
2022 Granby R32,W vs Mboko,39.0%,53.7%,70.8%,51.9%,63.0%,69.2%,63.6%,37.5%,-,15.4%,38.5%,72.7%,14.3%,50.0%,-,-18
2022 BJK Cup Qualifiers RR,W vs Vismane,34.4%,52.2%,59.6%,49.1%,63.6%,60.7%,57.1%,44.1%,-,12.1%,36.4%,58.6%,20.0%,33.3%,0.0%,-35
2022 Australian Open R128,L vs Bouzkova,19.4%,25.8%,39.6%,31.4%,37.1%,37.5%,41.2%,11.1%,20.0%,4.0%,12.0%,41.7%,16.7%,61.5%,40.0%,-76
2021 US Open R128,L vs Svitolina,21.4%,37.5%,36.4%,28.1%,56.3%,56.5%,56.3%,56.3%,50.0%,12.5%,12.5%,14.3%,0.0%,53.8%,50.0%,-104
2021 Montreal R16,L vs Sabalenka,26.7%,33.3%,37.9%,39.1%,43.5%,35.7%,45.5%,50.0%,66.7%,16.7%,27.8%,40.0%,28.6%,81.8%,100.0%,38
2021 Montreal R32,W vs Badosa,21.3%,30.6%,40.2%,35.7%,44.6%,44.4%,40.0%,38.7%,66.7%,6.1%,16.3%,37.0%,8.0%,41.7%,33.3%,-52
2021 Australian Open R64,L vs Vondrousova,23.1%,24.6%,36.2%,29.4%,32.4%,50.0%,43.8%,38.9%,33.3%,17.9%,17.9%,21.7%,60.0%,7.7%,0.0%,13
2021 Australian Open R128,W vs Birrell,50.9%,58.2%,60.0%,64.7%,73.5%,66.7%,35.7%,50.0%,-,31.6%,36.8%,53.8%,16.7%,23.1%,-,11
2021 Gippsland Trophy R64,L vs Paolini,32.8%,40.6%,34.9%,54.5%,60.6%,26.7%,33.3%,38.1%,0.0%,9.7%,19.4%,39.3%,7.1%,35.3%,25.0%,-104
2018 Quebec City QF,L vs Watson,25.4%,32.2%,37.8%,50.0%,64.3%,42.9%,50.0%,43.8%,0.0%,4.2%,4.2%,34.8%,33.3%,50.0%,50.0%,-73
2018 ITF Osaka QF,W vs Nara,27.4%,31.5%,45.8%,40.0%,45.0%,54.2%,63.2%,23.8%,50.0%,14.3%,17.9%,37.5%,28.6%,7.1%,0.0%,21
Career (20 matches),,30.4%,39.9%,44.7%,43.2%,52.7%,48.9%,53.7%,42.4%,41.5%,15.2%,25.8%,40.7%,24.7%,36.9%,31.5%,-3
