Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2024 Szekesfehervar CH QF,W vs Martineau,79% (11/14),38% (5/13),2/7,1/5,56% (5/9),4/5,0/0,- (0/0),- (0/0)
2022 US Open R128,L vs Popyrin,71% (12/17),38% (3/8),0/1,0/0,67% (8/12),2/5,1/2,36% (4/11),36% (4/11)
2022 Wimbledon R128,L vs Gray,65% (11/17),10% (1/10),0/0,0/0,50% (4/8),0/3,0/1,40% (2/5),20% (1/5)
2022 Roseto Degli Abruzzi 2 CH F,L vs Guinard,13% (1/8),40% (2/5),0/0,0/0,40% (4/10),0/2,0/1,- (0/0),- (0/0)
2019 Manerbio CH R16,L vs Piros,47% (9/19),40% (2/5),1/2,0/0,50% (5/10),0/2,0/1,- (0/0),- (0/0)
2019 Manerbio CH R64,W vs Dalla Valle,90% (9/10),100% (3/3),2/2,1/1,50% (2/4),0/0,0/0,60% (3/5),80% (4/5)
2019 Sopot CH R64,W vs Durasovic,57% (8/14),50% (4/8),2/2,1/1,40% (2/5),0/0,0/0,- (0/0),- (0/0)
2019 M25 Kassel QF,L vs Wessels,69% (11/16),38% (5/13),1/5,0/0,38% (5/13),1/3,0/1,50% (6/12),55% (6/11)
2019 M25 Kassel R32,W vs Schell,64% (9/14),38% (3/8),2/2,1/1,100% (1/1),0/0,0/0,- (0/0),- (0/0)
2019 M25 Hong Kong R32,W vs Chiu,54% (7/13),63% (5/8),2/3,1/1,100% (4/4),0/0,0/0,- (0/0),- (0/0)
2019 Braga CH R32,L vs Gombos,25% (1/4),38% (3/8),0/0,0/0,30% (3/10),1/3,0/1,- (0/0),- (0/0)
2019 Braga CH R64,W vs Ly,75% (9/12),88% (7/8),2/3,1/2,57% (8/14),0/1,0/0,67% (4/6),50% (3/6)
2019 Bordeaux CH R64,L vs Lamasine,33% (4/12),- (0/0),0/0,0/0,33% (2/6),0/2,0/1,- (0/0),- (0/0)
2019 Barcelona Q1,L vs Jarry,48% (14/29),17% (2/12),1/1,0/0,82% (9/11),4/6,3/4,50% (3/6),33% (2/6)
2019 Tunis CH R64,L vs Serdarusic,75% (6/8),11% (1/9),0/0,0/0,56% (5/9),1/3,0/1,- (0/0),- (0/0)
2019 Sophia Antipolis CH R64,L vs Zapata Miralles,52% (11/21),50% (2/4),1/3,0/0,70% (7/10),0/2,0/1,- (0/0),- (0/0)
2019 Miami R128,L vs Sousa,39% (7/18),33% (2/6),0/2,0/0,67% (8/12),6/8,0/1,- (0/0),- (0/0)
2019 Phoenix CH R32,L vs Kukushkin,64% (7/11),14% (1/7),0/1,0/0,25% (1/4),0/2,0/1,- (0/0),- (0/0)
2019 Phoenix CH R64,W vs Jung,69% (11/16),27% (4/15),2/2,1/1,50% (2/4),0/1,0/0,- (0/0),- (0/0)
2019 Yokohama CH R32,L vs Mager,85% (11/13),17% (1/6),0/0,0/0,50% (1/2),0/2,0/1,55% (6/11),18% (2/11)
2024 (1 matches),,78.6%,38.5%,28.6%,20.0%,55.6%,80.0%,-,-,-
2022 (3 matches),,57.1%,26.1%,0.0%,-,53.3%,20.0%,25.0%,37.5%,31.3%
2019 (31 matches),,62.2%,40.3%,60.7%,84.2%,57.3%,40.7%,28.6%,65.4%,40.0%
Career (35 matches),,62.2%,38.9%,56.5%,70.8%,56.7%,40.5%,28.0%,60.6%,38.5%
