Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),156,383,208,1561,217,1499,151,1571,221,1409,,,,
2025,124,498,200,1567,206,1505,147,1582,215,1412,,,,
2024,119,509,214,1544,233,1477,164,1554,,,623,75,,
2023,298,179,273,1470,238,1457,247,1438,232,1376,,,,
2022,115,490,222,1523,250,1443,167,1548,192,1435,,,,
2021,188,352,203,1555,230,1444,151,1559,,,,,,
2020,280,185,232,1464,224,1435,223,1419,,,671,52,,
2019,305,131,314,1428,283,1406,274,1408,197,1427,675,49,,
2018,486,13,,,,,,,,,,,,
2017,1455,2,,,,,,,,,,,,
2016,1759,1,,,,,,,,,,,,
