Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2022 Wimbledon R128,L vs Peniston,36,44,0.8,20.0%,24.4%,29,43,0.7,17.5%,25.9%,15.7%,1.2%,0.8,8.3%,10.0%
2022 Australian Open R128,L vs Medvedev,29,56,0.5,15.9%,30.8%,28,56,0.5,16.7%,33.3%,10.7%,3.0%,1.4,23.1%,16.5%
2021 US Open R32,L vs Gojowczyk,25,42,0.6,11.7%,19.6%,15,37,0.4,8.2%,20.3%,6.6%,1.1%,0.6,12.1%,19.6%
2021 US Open R64,W vs Garin,41,34,1.2,16.0%,13.2%,37,30,1.2,15.2%,12.3%,8.6%,1.2%,1.2,14.8%,12.8%
2021 US Open R128,W vs Millman,33,35,0.9,16.5%,17.5%,17,31,0.5,9.8%,17.8%,7.5%,1.1%,0.4,8.0%,21.5%
2021 Roland Garros R32,L vs Nishikori,12,12,1.0,13.6%,13.6%,12,12,1.0,15.6%,15.6%,,,2.6,14.8%,5.7%
2021 Roland Garros R64,W vs Bautista Agut,44,39,1.1,21.1%,18.7%,44,39,1.1,23.5%,20.9%,,,0.7,6.2%,9.6%
2021 Roland Garros R128,W vs Hanfmann,28,20,1.4,13.7%,9.8%,28,20,1.4,15.1%,10.8%,,,0.8,10.3%,13.7%
2021 Australian Open R128,L vs Caruso,21,41,0.5,12.1%,23.7%,21,41,0.5,13.8%,27.0%,,,0.6,8.1%,14.5%
2020 Roland Garros R128,L vs Cuevas,32,59,0.5,15.7%,28.9%,32,59,0.5,16.9%,31.2%,,,0.8,7.4%,9.3%
2019 US Open R64,L vs Shapovalov,17,37,0.5,9.1%,19.9%,16,26,0.6,10.4%,16.9%,5.8%,1.3%,1.6,20.4%,12.9%
2019 US Open R128,W vs Cecchinato,67,60,1.1,17.5%,15.7%,47,53,0.9,13.9%,15.7%,10.7%,2.7%,1.0,14.9%,14.6%
2019 Roland Garros R64,L vs Djokovic,18,34,0.5,12.2%,23.0%,18,34,0.5,13.3%,25.2%,,,0.8,11.5%,14.9%
2019 Roland Garros R128,W vs Martinez,29,32,0.9,15.8%,17.4%,29,32,0.9,17.1%,18.8%,,,0.5,12.0%,25.0%
2019 Australian Open R128,W vs Basic,51,43,1.2,18.9%,15.9%,31,41,0.8,13.2%,17.5%,10.7%,1.7%,0.7,12.6%,18.1%
2018 Bastad R16,W vs Berrettini,19,13,1.5,19.8%,13.5%,16,13,1.2,18.2%,14.8%,14.8%,2.3%,0.7,14.6%,20.8%
2017 US Open R128,L vs Del Potro,45,47,1.0,19.7%,20.6%,36,37,1.0,19.3%,19.8%,12.8%,4.3%,1.1,14.0%,12.3%
2017 Wimbledon R128,L vs Rosol,30,29,1.0,12.3%,11.9%,20,25,0.8,9.3%,11.6%,7.0%,1.4%,0.9,13.9%,16.4%
2015 Charlottesville CH SF,L vs Rubin,24,48,0.5,16.1%,32.2%,24,47,0.5,16.9%,33.1%,8.5%,7.0%,0.9,12.1%,13.4%
Career (19 matches),,601,725,0.8,15.8%,19.1%,500,676,0.7,14.8%,20.0%,6.6%,1.5%,0.8,12.6%,15.0%
