Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2025-07-28),1622,2,,,,,,,,,,,,
2024,1100,10,,,,,,,,,,,,
2023,567,65,250,1494,197,1498,222,1466,247,1331,,,,
2022,172,334,174,1593,155,1558,148,1571,223,1392,,,,
2021,98,765,69,1749,73,1689,66,1701,166,1492,,,,
2020,134,485,146,1589,147,1534,132,1555,,,,,,
2019,104,548,169,1584,174,1529,143,1553,199,1423,,,,
2018,169,311,218,1516,225,1455,166,1515,212,1400,191,331,,
2017,121,488,122,1656,118,1618,111,1602,165,1465,,,,
2016,136,452,132,1632,115,1609,144,1550,166,1478,805,51,,
2015,181,279,184,1554,134,1571,228,1444,,,520,113,,
2014,318,151,234,1490,206,1478,206,1471,176,1435,583,89,,
2013,244,191,180,1572,193,1494,137,1577,139,1502,,,,
2012,291,155,220,1512,208,1469,204,1476,,,726,51,,
2011,588,40,,,,,,,,,950,28,,
2010,1202,3,,,,,,,,,,,,
2009,1386,2,,,,,,,,,511,94,,
2008,1408,2,,,,,,,,,,,,
2006,,,,,,,,,,,1661,1,,
