Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-16),1403,5,,,,,,,,,,,,
2025,1383,5,,,,,,,,,,,,
2022,1014,10,,,,,,,,,,,,
2021,415,99,,,,,,,,,,,,
2020,333,130,,,,,,,,,603,63,,
2019,309,129,358,1376,314,1375,344,1330,,,517,74,,
2018,250,183,287,1427,255,1411,262,1395,228,1367,334,107,,
2017,145,385,205,1534,185,1501,197,1482,,,407,135,,
2016,190,295,235,1493,254,1406,185,1500,200,1415,295,237,,
2015,215,237,274,1444,258,1403,235,1437,,,333,196,,
2014,219,223,262,1452,254,1408,231,1430,213,1381,1093,23,,
2013,315,140,315,1380,289,1367,300,1350,232,1335,310,201,,
2012,145,382,139,1619,124,1597,218,1462,,,118,592,,
2011,182,269,257,1470,213,1462,280,1376,193,1434,223,294,,
2010,223,220,194,1539,202,1478,281,1384,,,162,432,,
2009,192,246,178,1570,194,1498,,,,,544,87,,
2008,433,70,,,,,,,,,600,71,,
2007,874,12,,,,,,,,,,,,
