Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
12-Aug-2024,Barranquilla 125,Hard,F,88,71,(4) Podoroska d. (1) Tatjana Maria [GER],6-2 1-6 6-3,1.20,2.9%,4.4%,70.6%,68.8%,55.0%,5/8,2:09
25-Mar-2024,San Luis Potosi 125,Clay,F,78,270,(4) Podoroska d. Francesca Jones [GBR],6-1 6-2,1.67,1.9%,5.8%,71.2%,73.0%,46.7%,1/2,1:08
30-Jan-2023,Cali 125,Clay,F,156,206,Podoroska d. Paula Ormaechea [ARG],6-4 6-2,1.56,2.1%,2.1%,44.7%,57.1%,69.2%,2/5,1:29
08-Aug-2022,W60 San Bartolome (Gran Canaria),Clay,F,184,131,(3) Julia Grabher [AUT] d. (5) Podoroska,6-4 6-3,,,,,,,,
07-Sep-2020,W60+H Saint-Malo,Clay,F,165,177,(8) Podoroska d. Cristina Bucsa [ESP],4-6 7-5 6-2,,,,,,,,
20-Jan-2020,W25 Petit-Bourg (Guadeloupe),Hard,F,258,242,(2) Podoroska d. (1) Harmony Tan [FRA],7-5 7-5,,,,,,,,
07-Oct-2019,W25 Santa Margherita Di Pula,Clay,F,308,179,Podoroska d. Martina Trevisan [ITA],7-6(5) 6-1,,,,,,,,
06-May-2019,W25 Monzon,Hard,F,268,255,(4) Podoroska d. (5) Cristina Bucsa [ESP],6-2 4-6 6-2,,,,,,,,
25-Jun-2018,Perigueux $25K,Clay,F,363,225,Podoroska d. (2) Myrtille Georges [FRA],6-2 6-0,,,,,,,,
28-Mar-2016,Sao Jose Dos Campos $10K,Clay,F,313,282,(2) Podoroska d. (1) Gabriela Ce [BRA],7-6(2) 6-1,,,,,,,,
