Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2024 United Cup RR,W vs Gadecki,20.0%,26.0%,57.9%,19.4%,25.0%,55.2%,50.0%,30.0%,50.0%,25.0%,33.3%,66.7%,60.0%,14.3%,-,68
2024 Beijing R128,W vs Ren,12.9%,24.2%,61.5%,18.9%,35.1%,66.7%,38.9%,21.1%,25.0%,4.3%,8.7%,54.5%,33.3%,57.1%,-,-73
2024 Toronto R64,L vs Pliskova,23.8%,30.0%,51.7%,29.2%,37.5%,55.9%,19.0%,48.1%,33.3%,17.2%,20.7%,45.8%,0.0%,42.1%,0.0%,9
2024 Rouen R32,L vs Andreeva,8.5%,17.0%,34.9%,6.1%,18.2%,38.7%,38.5%,30.0%,33.3%,14.3%,14.3%,25.0%,40.0%,25.0%,-,-104
2024 Miami R64,L vs Gauff,14.5%,20.0%,39.1%,14.3%,22.9%,53.3%,47.1%,22.2%,-,15.8%,15.8%,12.5%,30.0%,22.2%,25.0%,-43
2023 Bad Homburg R32,L vs Navarro,16.3%,24.5%,31.6%,16.7%,30.0%,36.0%,68.8%,35.7%,0.0%,18.8%,18.8%,23.1%,62.5%,25.0%,33.3%,63
2023 Roland Garros R64,L vs Muchova,21.8%,26.4%,45.9%,29.3%,36.2%,46.3%,64.0%,45.5%,33.3%,9.1%,9.1%,45.0%,18.2%,45.5%,50.0%,-39
2023 Roland Garros R128,W vs Ponchet,19.0%,40.5%,68.8%,20.8%,41.7%,73.7%,40.0%,57.1%,50.0%,18.8%,43.8%,61.5%,16.7%,60.0%,-,30
2023 Australian Open R64,L vs Azarenka,5.3%,13.2%,31.4%,7.4%,18.5%,40.0%,60.0%,50.0%,50.0%,0.0%,0.0%,10.0%,25.0%,50.0%,33.3%,-119
2022 Granby R32,L vs Maria,14.8%,21.3%,40.8%,20.0%,25.7%,35.7%,15.4%,40.9%,40.0%,8.7%,17.4%,47.6%,18.8%,57.1%,-,-30
2021 Guadalajara R32,W vs Olmos,20.2%,29.4%,50.0%,26.4%,38.9%,54.7%,23.3%,31.0%,18.2%,10.0%,13.3%,40.7%,8.3%,22.2%,0.0%,-25
2021 Yarra Valley Classic R16,W vs Kvitova,29.1%,39.1%,42.1%,29.6%,40.7%,45.6%,37.5%,18.4%,25.0%,29.6%,37.0%,31.6%,80.0%,41.7%,0.0%,-21
2020 Linz QF,L vs Alexandrova,20.5%,23.1%,30.0%,10.3%,13.8%,26.9%,26.7%,57.1%,66.7%,55.6%,55.6%,50.0%,50.0%,80.0%,-,17
2020 Linz R16,W vs Giorgi,26.1%,42.3%,49.4%,27.3%,48.1%,51.8%,28.9%,46.2%,40.0%,25.8%,32.3%,43.5%,0.0%,70.0%,66.7%,3
2020 Roland Garros SF,L vs Swiatek,11.4%,15.9%,33.3%,12.9%,19.4%,33.3%,40.0%,43.8%,0.0%,7.7%,7.7%,33.3%,25.0%,100.0%,100.0%,-104
2020 Roland Garros QF,W vs Svitolina,13.6%,15.3%,44.0%,13.5%,16.2%,40.6%,68.8%,28.6%,50.0%,14.3%,14.3%,50.0%,33.3%,77.8%,100.0%,-49
2020 Roland Garros R16,W vs Krejcikova,19.6%,28.4%,42.5%,23.4%,32.5%,45.8%,58.8%,37.2%,44.4%,8.7%,17.4%,33.3%,57.1%,66.7%,100.0%,-27
2020 Roland Garros R32,W vs Schmiedlova,16.7%,24.1%,45.5%,15.4%,23.1%,48.5%,76.5%,9.1%,33.3%,21.4%,28.6%,36.4%,25.0%,66.7%,-,-23
2020 Roland Garros R64,W vs Putintseva,15.7%,20.2%,42.5%,14.5%,21.8%,48.9%,68.2%,39.4%,33.3%,18.8%,18.8%,30.8%,22.2%,71.4%,100.0%,-33
2020 Palermo R32,L vs Ferro,8.2%,10.2%,37.2%,10.5%,13.2%,38.2%,61.1%,45.0%,62.5%,0.0%,0.0%,33.3%,40.0%,100.0%,100.0%,-119
Career (22 matches),,17.8%,25.6%,43.6%,19.7%,29.4%,46.0%,45.2%,35.0%,36.9%,15.7%,20.2%,38.6%,30.3%,51.6%,54.3%,26
