Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
1997,80,332,52,1829,68,1706,58,1722,32,1719,,,,
1996,35,734,35,1918,39,1801,43,1779,27,1757,,,,
1995,29,49,33,1905,33,1814,34,1797,31,1733,,,,
1994,22,65,36,1909,41,1804,47,1765,29,1748,,,,
1993,17,82,29,1942,25,1881,33,1825,16,1810,,,,
1992,12,66,13,2051,10,1964,17,1932,12,1872,,,,
1991,17,56,15,2036,17,1935,19,1885,9,1869,,,,
1990,14,77,13,2027,14,1921,17,1899,9,1929,,,,
1989,8,87,8,2074,7,1997,13,1916,6,1945,,,,
1988,8,80,7,2093,10,1951,6,2006,6,2007,,,,
1987,7,92,6,2172,6,2048,7,2011,6,2073,,,,
1986,6,105,5,2193,5,2071,6,2030,4,2080,,,,
1985,9,,11,2065,12,1918,12,1910,5,2002,,,,
1984,7,,6,2076,6,1900,11,1876,4,1987,,,,
1983,,,15,1968,16,1784,17,1876,14,1830,,,,
1982,,,24,1844,41,1665,20,1792,35,1689,,,,
1981,,,57,1704,119,1427,58,1622,35,1653,,,,
