Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
1993 US Open F,L vs Graf,19.6%,25.0%,30.0%,25.0%,33.3%,33.3%,13.3%,76.2%,100.0%,33.3%,33.3%,0.0%,66.7%,66.7%,-,169
1993 US Open SF,W vs Sanchez Vicario,10.7%,24.8%,52.1%,19.2%,38.5%,61.9%,80.8%,34.6%,40.0%,5.3%,17.5%,44.4%,80.0%,16.2%,0.0%,-61
1990 Brighton F,L vs Graf,14.7%,25.3%,54.2%,17.8%,33.3%,51.4%,40.0%,64.0%,57.1%,12.0%,16.0%,59.1%,28.6%,54.5%,50.0%,-4
1989 Indian Wells SF,L vs Maleeva Fragniere,17.7%,27.4%,40.8%,24.4%,34.1%,45.2%,50.0%,34.8%,25.0%,5.3%,15.8%,33.3%,66.7%,50.0%,50.0%,-64
1989 Australian Open F,L vs Graf,29.0%,37.7%,38.1%,48.4%,58.1%,37.5%,22.2%,76.9%,85.7%,16.1%,25.8%,38.5%,40.0%,87.5%,100.0%,37
1989 Australian Open QF,W vs Navratilova,23.6%,33.6%,49.3%,25.5%,37.3%,60.5%,60.0%,11.5%,25.0%,26.0%,36.0%,37.8%,73.1%,16.7%,66.7%,80
1988 Berlin F,L vs Graf,26.1%,32.6%,31.3%,32.3%,38.7%,23.8%,23.5%,71.4%,100.0%,15.4%,23.1%,45.5%,25.0%,55.6%,100.0%,35
1986 US Open F,L vs Navratilova,21.1%,29.8%,40.5%,29.6%,33.3%,52.6%,73.3%,8.3%,33.3%,14.8%,29.6%,30.4%,85.7%,15.4%,0.0%,17
1986 US Open SF,W vs Evert,22.9%,31.4%,44.4%,37.8%,54.1%,56.5%,83.3%,36.8%,100.0%,8.3%,8.3%,31.8%,33.3%,20.0%,0.0%,-36
1984 Australian Open F,L vs Evert,20.0%,29.5%,53.2%,31.7%,43.9%,64.3%,47.4%,54.5%,0.0%,15.0%,25.0%,44.1%,50.0%,54.5%,71.4%,9
1984 Australian Open SF,W vs Navratilova,24.5%,34.7%,45.1%,27.8%,38.9%,48.7%,60.7%,42.3%,40.0%,22.0%,31.7%,40.6%,31.3%,28.0%,0.0%,-22
Career (11 matches),,20.4%,30.2%,45.8%,28.0%,39.9%,50.5%,52.5%,45.4%,55.8%,15.0%,24.3%,40.3%,56.1%,35.7%,38.7%,30
