Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2006 New Haven QF,W vs Mauresmo,30.4%,39.1%,44.7%,42.9%,54.8%,50.0%,33.3%,33.3%,-,11.5%,15.4%,39.1%,8.3%,57.1%,0.0%,-59
2005 Zurich F,W vs Schnyder,17.9%,34.5%,50.7%,23.2%,46.4%,51.2%,66.7%,41.4%,0.0%,7.7%,11.5%,50.0%,90.0%,31.3%,0.0%,-36
2005 US Open QF,L vs Dementieva,25.0%,32.3%,36.4%,33.3%,41.7%,40.0%,37.9%,35.5%,100.0%,13.3%,20.0%,30.8%,0.0%,81.3%,66.7%,9
2005 Wimbledon F,L vs Williams,27.1%,39.0%,45.7%,28.7%,42.5%,45.6%,45.7%,33.3%,0.0%,27.3%,36.4%,45.8%,81.8%,27.3%,0.0%,55
2005 Wimbledon SF,W vs Mauresmo,24.7%,39.2%,54.8%,33.3%,51.9%,58.3%,20.0%,32.4%,50.0%,18.8%,31.3%,50.0%,13.3%,17.6%,0.0%,58
2005 Indian Wells F,L vs Clijsters,22.0%,28.0%,42.7%,29.7%,40.6%,53.3%,40.0%,55.9%,55.6%,13.7%,13.7%,31.8%,4.5%,65.5%,66.7%,-37
2005 Tokyo F,L vs Sharapova,46.0%,54.0%,44.2%,53.7%,63.0%,56.0%,48.1%,48.1%,100.0%,37.9%,44.8%,27.8%,71.4%,22.7%,0.0%,42
2005 Australian Open F,L vs Williams,41.2%,42.6%,31.3%,53.5%,55.8%,35.0%,36.8%,41.7%,50.0%,29.4%,29.4%,25.0%,50.0%,88.9%,100.0%,111
2005 Australian Open SF,W vs Dechy,26.2%,43.0%,44.9%,34.7%,56.9%,48.9%,41.9%,43.9%,50.0%,12.0%,20.0%,36.4%,27.3%,42.9%,75.0%,-20
2004 Filderstadt SF,W vs Myskina,26.8%,39.3%,52.6%,40.0%,54.3%,47.6%,36.8%,31.3%,50.0%,5.6%,16.7%,58.8%,16.7%,83.3%,100.0%,-64
2004 San Diego F,W vs Myskina,22.2%,31.1%,61.8%,31.0%,44.8%,75.0%,57.1%,13.3%,0.0%,6.7%,6.7%,42.9%,0.0%,50.0%,100.0%,-47
2004 Wimbledon SF,L vs Sharapova,31.5%,43.5%,41.2%,38.4%,54.8%,51.1%,39.3%,22.2%,0.0%,20.7%,24.1%,21.7%,13.3%,42.9%,0.0%,79
2004 Amelia Island F,W vs Mauresmo,21.2%,31.8%,47.1%,27.5%,42.5%,62.1%,36.4%,55.6%,100.0%,12.0%,16.0%,27.3%,0.0%,68.8%,33.3%,-57
2004 Indian Wells F,L vs Henin,21.3%,29.3%,38.2%,22.2%,33.3%,45.2%,30.4%,51.6%,70.0%,23.5%,23.5%,15.4%,0.0%,75.0%,-,100
2003 US Open SF,L vs Clijsters,21.0%,32.3%,30.4%,28.1%,46.9%,34.8%,46.7%,17.6%,40.0%,14.8%,18.5%,26.1%,28.6%,46.2%,66.7%,-21
2003 San Diego SF,L vs Clijsters,14.8%,26.2%,47.8%,19.4%,36.1%,51.7%,29.4%,42.1%,44.4%,10.5%,15.8%,41.2%,11.1%,30.0%,50.0%,-27
2003 Indian Wells F,L vs Clijsters,17.6%,27.0%,43.8%,29.7%,40.5%,46.2%,64.7%,30.0%,16.7%,8.3%,20.8%,40.9%,0.0%,58.3%,50.0%,-49
2003 Tokyo F,W vs Seles,38.8%,59.2%,45.6%,45.7%,71.4%,57.9%,65.6%,39.5%,33.3%,29.6%,40.7%,21.1%,38.5%,21.4%,0.0%,115
2003 Australian Open R16,L vs Henin,18.2%,25.3%,42.5%,26.6%,39.2%,50.0%,70.3%,19.0%,20.0%,10.1%,11.6%,35.5%,2.9%,45.7%,71.4%,-11
2002 Zurich F,L vs Schnyder,16.9%,27.0%,51.3%,30.3%,51.5%,52.2%,45.5%,36.4%,25.0%,23.8%,33.3%,50.0%,100.0%,46.2%,-,47
Career (58 matches),,24.1%,34.2%,46.0%,30.6%,43.8%,50.3%,46.7%,38.6%,37.5%,16.4%,22.5%,39.1%,19.8%,53.1%,62.4%,45
