Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,14,Hard,72,59,13,81.9%,8,5,3,62.5%,1993,2008,W,19,1.21,7.5%,6.7%,58.3%,71.0%,47.8%,61.3%,46.6%,59.7%,51.2%
Roland Garros,12,Clay,44,32,12,72.7%,7,5,2,71.4%,1992,2005,SF,12,1.09,2.8%,8.8%,53.6%,67.7%,35.2%,52.7%,51.8%,54.9%,53.5%
Wimbledon,14,Grass,62,49,13,79.0%,17,7,10,41.2%,2008,2008,W,19,1.33,7.6%,4.2%,64.8%,73.9%,48.8%,65.1%,46.5%,64.0%,50.6%
US Open,17,Hard,78,62,16,79.5%,11,7,4,63.6%,1991,2008,W,24,1.29,8.1%,5.4%,60.8%,70.6%,51.0%,62.9%,48.0%,60.7%,51.7%
Olympics,1,,2,1,1,50.0%,0,0,0,-,2000,2000,R32,0,,,,,,,,,,
Fed Cup,11,,29,26,3,89.7%,6,6,0,100.0%,1993,2008,,0,,,,,,,,,,
Indian Wells,14,Hard,59,47,12,79.7%,9,7,2,77.8%,1993,2008,W,7,1.24,9.8%,5.4%,56.2%,69.7%,46.5%,59.5%,50.2%,60.5%,50.0%
Tokyo,9,Carpet,39,33,6,84.6%,10,5,5,50.0%,1995,2005,W,0,,,,,,,,,,
Amelia Island,10,Clay,41,34,7,82.9%,2,2,0,100.0%,2008,2008,W,3,1.41,11.0%,8.6%,58.9%,78.1%,49.3%,66.3%,47.6%,46.2%,47.1%
Sydney,10,Hard,34,25,9,73.5%,8,2,6,25.0%,2004,2005,W,0,,,,,,,,,,
Filderstadt,10,Hard,27,20,7,74.1%,3,2,1,66.7%,1999,2005,W,0,,,,,,,,,,
WTA Tour Championships,10,Hard,25,15,10,60.0%,11,4,7,36.4%,2001,2005,W,4,1.16,11.7%,7.7%,61.7%,78.4%,47.0%,66.3%,39.0%,63.2%,35.7%
