Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),883,30,,,,,,,,,861,54,,
2025,1440,4,,,,,,,,,1002,39
2022,776,29,,,,,,,,,,
2021,352,173,,,,,,,,,,
2020,308,186,,,,,,,,,1108,16
2019,344,142,,,,,,,,,1061,16
2018,221,265,111,1661,109,1631,127,1554,109,1531,,
2017,124,487,124,1639,133,1578,118,1553,97,1565,,
2016,175,323,173,1524,167,1489,172,1448,,,590,62
2015,337,114,,,,,,,,,273,218
2014,202,244,231,1434,226,1402,214,1375,,,386,113
2013,464,80,,,,,,,,,292,215
2012,601,40,,,,,,,,,531,74
