Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2023 Warsaw SF,L vs Swiatek,16.7%,22.2%,40.7%,25.0%,29.5%,36.4%,55.0%,37.5%,60.0%,4.5%,13.6%,47.6%,0.0%,90.9%,100.0%,-77
2022 Seoul R32,W vs Fruhvirtova,10.3%,22.1%,57.6%,9.8%,24.4%,73.0%,30.4%,22.2%,33.3%,12.0%,20.0%,31.8%,0.0%,42.9%,0.0%,-14
2016 Beijing R32,L vs Halep,18.8%,27.1%,32.4%,25.9%,37.0%,35.0%,61.5%,57.1%,100.0%,12.5%,18.8%,28.6%,20.0%,83.3%,100.0%,-9
2016 Istanbul R32,L vs Mitu,15.4%,16.9%,49.1%,19.6%,21.7%,48.6%,38.1%,32.0%,50.0%,5.9%,5.9%,50.0%,0.0%,66.7%,100.0%,-58
2016 St Petersburg R16,L vs Vinci,17.9%,23.9%,48.0%,23.3%,32.6%,48.5%,60.0%,47.8%,50.0%,10.5%,10.5%,47.1%,62.5%,45.5%,-,-23
2016 St Petersburg R32,W vs Ostapenko,27.6%,32.8%,50.0%,32.6%,39.1%,51.6%,65.0%,46.2%,33.3%,10.0%,10.0%,44.4%,0.0%,80.0%,-,-23
2016 Brisbane R32,L vs Cibulkova,27.6%,39.5%,42.0%,34.8%,47.8%,50.0%,40.0%,42.3%,0.0%,20.0%,32.0%,30.0%,7.7%,50.0%,33.3%,73
2015 Guangzhou QF,W vs Niculescu,14.0%,25.6%,62.2%,20.0%,30.0%,62.5%,78.6%,50.0%,100.0%,0.0%,15.4%,61.5%,14.3%,33.3%,100.0%,-119
2015 Tokyo F,W vs Linette,17.8%,27.8%,50.0%,24.5%,35.8%,55.0%,35.7%,28.0%,25.0%,9.1%,18.2%,43.3%,15.4%,5.0%,20.0%,-25
2015 Australian Open R16,L vs Halep,11.1%,22.2%,44.3%,14.6%,29.3%,54.3%,45.0%,33.3%,33.3%,7.1%,14.3%,30.8%,0.0%,52.9%,100.0%,-42
2014 Australian Open R64,L vs Riske Amritraj,23.9%,26.1%,25.0%,27.6%,31.0%,23.8%,12.5%,46.2%,60.0%,21.4%,21.4%,27.3%,0.0%,50.0%,50.0%,84
2014 Hobart R16,L vs Muguruza,20.0%,26.7%,33.3%,37.5%,37.5%,40.0%,25.0%,75.0%,-,0.0%,14.3%,28.6%,0.0%,100.0%,100.0%,-119
2013 Auckland F,L vs Radwanska,7.1%,18.6%,54.1%,10.3%,25.6%,62.9%,66.7%,47.6%,66.7%,3.7%,11.1%,42.3%,0.0%,50.0%,100.0%,-81
2012 Hobart F,L vs Barthel,4.0%,6.0%,38.6%,2.8%,5.6%,34.3%,50.0%,25.0%,28.6%,10.0%,10.0%,55.6%,0.0%,66.7%,100.0%,-36
2012 Hobart SF,W vs Peer,13.3%,23.3%,61.2%,12.2%,26.8%,58.3%,52.6%,36.4%,0.0%,18.8%,18.8%,69.2%,0.0%,75.0%,-,63
2012 Hobart QF,W vs Halep,24.4%,34.1%,61.3%,30.8%,42.3%,72.2%,42.9%,41.7%,-,13.3%,20.0%,46.2%,0.0%,66.7%,-,-104
2009 US Open SF,L vs Wozniacki,8.3%,12.5%,42.2%,14.0%,18.6%,45.9%,55.0%,34.8%,0.0%,0.0%,3.7%,37.0%,0.0%,72.7%,66.7%,-119
Career (17 matches),,16.0%,23.8%,47.6%,20.7%,29.9%,51.1%,48.0%,39.0%,37.9%,9.3%,15.4%,41.5%,6.9%,53.9%,69.7%,-26
