Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),97,639,160,1626,157,1578,94,1652,96,1582,,,,
2025,71,777,75,1746,80,1699,65,1712,65,1642,,,,
2024,99,622,51,1793,52,1750,,,43,1689,497,99,,
2023,645,50,,,,,,,,,,,,
2020,1038,9,,,,,,,,,,,,
2019,1006,9,,,,,,,,,,,,
