Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2026 Dallas F,L vs Shelton,39,17,2.3,24.1%,10.5%,25,16,1.6,18.9%,12.1%,14.4%,1.5%,1.5,20.4%,13.6%
2026 Australian Open R16,L vs Musetti,22,36,0.6,13.3%,21.8%,12,35,0.3,8.6%,25.2%,7.9%,0.7%,1.3,18.8%,14.5%
2026 United Cup SF,L vs Hurkacz,24,24,1.0,16.1%,16.1%,12,24,0.5,10.2%,20.3%,6.8%,3.4%,1.4,18.8%,13.4%
2025 Tour Finals RR,L vs Alcaraz,39,33,1.2,16.1%,13.6%,23,31,0.7,10.8%,14.6%,5.6%,3.8%,1.4,19.4%,13.6%
2025 Tour Finals RR,W vs Musetti,34,21,1.6,23.9%,14.8%,21,21,1.0,17.8%,17.8%,11.0%,6.8%,1.1,19.0%,17.6%
2025 Tour Finals RR,L vs De Minaur,18,28,0.6,13.3%,20.7%,10,27,0.4,8.5%,22.9%,3.4%,4.2%,1.0,17.8%,18.5%
2025 Basel R32,W vs Vacherot,49,39,1.3,21.6%,17.2%,29,33,0.9,15.8%,18.0%,8.2%,6.0%,1.1,16.7%,15.4%
2025 Shanghai Masters R32,L vs Mpetshi Perricard,23,7,3.3,19.5%,5.9%,14,6,2.3,14.9%,6.4%,11.7%,1.1%,2.8,28.0%,10.2%
2025 Tokyo F,L vs Alcaraz,30,21,1.4,23.3%,16.3%,24,18,1.3,21.6%,16.2%,8.1%,4.5%,1.9,31.0%,16.3%
2025 Tokyo SF,W vs Brooksby,34,14,2.4,28.3%,11.7%,21,14,1.5,20.2%,13.5%,13.5%,2.9%,1.1,16.7%,15.8%
2025 US Open QF,L vs Djokovic,39,38,1.0,15.3%,14.9%,27,33,0.8,12.3%,15.0%,9.1%,3.2%,0.7,11.4%,16.9%
2025 US Open R16,W vs Machac,44,18,2.4,29.3%,12.0%,30,16,1.9,23.6%,12.6%,6.3%,3.1%,0.9,19.3%,22.0%
2025 US Open R128,W vs Nava,22,31,0.7,11.8%,16.6%,11,26,0.4,7.0%,16.6%,3.8%,1.3%,0.6,17.1%,28.3%
2025 Canada Masters SF,L vs Shelton,11,21,0.5,9.8%,18.8%,7,18,0.4,7.2%,18.6%,7.2%,0.0%,1.0,19.6%,20.5%
2025 Canada Masters QF,W vs Rublev,40,19,2.1,30.8%,14.6%,20,16,1.3,20.0%,16.0%,7.0%,3.0%,1.3,22.3%,17.7%
2025 Canada Masters R32,W vs Diallo,21,18,1.2,18.9%,16.2%,16,18,0.9,16.7%,18.8%,5.2%,1.0%,0.7,20.7%,31.5%
2025 Wimbledon SF,L vs Alcaraz,45,30,1.5,19.2%,12.8%,26,24,1.1,13.5%,12.4%,6.7%,4.7%,1.1,17.1%,15.0%
2025 Wimbledon QF,W vs Khachanov,43,28,1.5,19.4%,12.6%,27,26,1.0,13.8%,13.3%,9.2%,4.6%,0.7,13.5%,18.5%
2025 Wimbledon R16,W vs Thompson,18,3,6.0,34.6%,5.8%,12,3,4.0,27.3%,6.8%,15.9%,11.4%,0.3,3.8%,15.4%
2025 Wimbledon R32,W vs Davidovich Fokina,41,32,1.3,16.4%,12.8%,24,31,0.8,10.7%,13.8%,8.9%,1.8%,0.9,16.0%,18.4%
Career (210 matches),,6740,5486,1.2,18.1%,14.7%,4667,5018,0.9,14.5%,15.6%,7.7%,3.3%,1.0,17.3%,17.0%
