Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2024 US Open F,L vs Sinner,110.8,120.0,9.6,125.3,117.0,135,96,96.0,8.9,88.0,95.7,112,76
2024 US Open SF,W vs Tiafoe,111.5,119.8,8.6,125.4,116.2,135,96,99.3,7.4,100.3,88.8,114,80
2024 US Open QF,W vs Zverev,108.8,119.5,9.9,126.1,116.0,135,89,88.5,8.3,85.6,87.0,109,70
2024 US Open R16,W vs Ruud,107.9,115.6,9.7,122.3,110.7,131,92,93.8,8.6,97.5,91.1,113,77
2024 US Open R32,W vs Comesana,106.9,117.3,9.0,122.5,114.0,134,100,88.9,7.0,91.6,,105,73
2024 US Open R64,W vs Berrettini,111.3,119.8,7.5,122.1,118.2,135,103,99.9,7.4,101.1,95.8,116,81
2024 US Open R128,W vs Ugo Carabelli,106.7,117.7,7.9,122.3,112.2,134,103,93.2,7.8,95.9,88.0,107,77
2024 Wimbledon QF,L vs Musetti,111.4,120.7,7.8,124.4,115.2,135,104,96.5,8.6,99.9,84.0,112,77
2024 Wimbledon R16,W vs Zverev,114.4,120.8,8.2,125.6,116.1,136,104,101.8,7.6,103.1,105.2,128,85
2024 Wimbledon R32,W vs Tabilo,112.4,118.1,7.9,123.0,113.3,131,100,97.2,6.3,103.0,97.0,107,85
2024 Wimbledon R64,W vs Rinderknech,109.5,119.6,8.9,124.3,115.7,134,94,93.6,7.9,102.4,96.0,110,78
2024 Wimbledon R128,W vs Oconnell,110.6,118.3,9.7,121.4,112.5,131,96,97.1,6.6,97.3,94.5,111,85
2023 US Open QF,L vs Djokovic,112.3,121.6,7.4,126.8,118.0,133,105,100.4,7.5,104.8,95.3,114,77
2023 US Open R16,W vs Stricker,114.5,123.9,7.6,128.2,118.2,134,99,101.4,7.5,94.7,98.0,114,81
2023 US Open R32,W vs Mensik,112.0,122.0,8.1,126.9,116.7,142,100,98.6,8.3,100.7,,112,84
2023 US Open R64,W vs Varillas,105.5,120.5,7.4,122.2,118.6,135,103,83.8,7.8,83.8,,100,69
2023 US Open R128,W vs Johnson,105.9,119.2,8.7,123.6,115.7,134,100,94.7,9.3,98.7,,110,74
2023 Wimbledon R64,L vs Ymer,112.9,121.9,7.2,126.3,117.6,135,108,102.4,6.9,101.8,,120,90
2023 Wimbledon R128,W vs Hanfmann,114.3,119.5,7.7,124.4,116.6,133,91,101.3,7.5,106.5,106.0,113,78
2022 US Open R128,L vs Holt,109.0,118.7,8.5,122.9,113.6,134,95,93.3,6.3,89.0,,104,77
Career (42 matches),,109.9,119.6,8.9,124.3,114.7,147,64,94.5,7.8,96.2,93.1,128,65
