Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,11,Hard,34,23,11,67.6%,29,18,11,62.1%,2016,2026,QF,31,1.15,13.8%,2.1%,64.0%,76.0%,55.5%,68.6%,36.3%,66.4%,36.4%
Roland Garros,9,Clay,19,10,9,52.6%,7,3,4,42.9%,2016,2025,R16,19,1.04,9.4%,2.1%,60.9%,72.4%,48.1%,62.9%,38.7%,57.7%,37.7%
Wimbledon,9,Grass,30,21,9,70.0%,23,11,12,47.8%,2016,2025,SF,27,1.15,13.5%,2.6%,62.9%,78.5%,56.8%,70.4%,34.0%,63.6%,43.6%
US Open,12,Hard,32,20,12,62.5%,17,10,7,58.8%,2014,2025,F,31,1.15,11.5%,3.7%,57.2%,76.8%,52.6%,66.5%,38.6%,63.5%,41.7%
Olympics,1,,3,2,1,66.7%,1,0,1,0.0%,2024,2024,R16,3,1.17,14.5%,2.0%,80.0%,76.9%,80.0%,77.5%,26.3%,80.0%,54.5%
Davis Cup,5,,12,8,4,66.7%,6,3,3,50.0%,2019,2025,,6,1.34,12.5%,4.0%,57.8%,78.9%,56.6%,69.5%,40.8%,75.0%,42.9%
Miami Masters,10,Hard,27,17,10,63.0%,11,4,7,36.4%,2016,2026,SF,27,1.16,10.1%,3.2%,61.1%,76.5%,54.7%,68.0%,37.2%,64.6%,36.5%
Indian Wells Masters,11,Hard,34,24,10,70.6%,14,10,4,71.4%,2015,2026,W,34,1.12,10.2%,2.7%,61.5%,74.9%,51.9%,66.1%,37.9%,64.4%,42.7%
Delray Beach,9,Hard,20,13,7,65.0%,10,8,2,80.0%,2016,2026,W,20,1.15,14.0%,2.4%,63.7%,78.4%,48.4%,67.5%,37.4%,59.0%,34.3%
Dallas,4,Hard,12,8,4,66.7%,10,7,3,70.0%,2022,2026,F,12,1.27,18.9%,1.8%,68.0%,83.0%,52.8%,73.3%,34.0%,63.6%,22.7%
United Cup,3,Hard,16,10,6,62.5%,11,8,3,72.7%,2023,2026,W,16,1.08,15.7%,2.5%,62.6%,79.3%,53.5%,69.7%,32.9%,64.4%,30.4%
Tour Finals,3,Hard,12,6,6,50.0%,9,4,5,44.4%,2022,2025,F,12,1.05,13.1%,1.1%,66.8%,79.5%,50.6%,69.9%,31.5%,73.7%,28.3%
