Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,7,Hard,11,4,7,36.4%,4,1,3,25.0%,2009,2016,R64,8,0.96,4.8%,2.4%,60.6%,64.9%,48.9%,58.6%,40.0%,67.0%,40.0%
Roland Garros,6,Clay,16,10,6,62.5%,3,1,2,33.3%,2009,2015,R64,13,0.97,3.5%,1.7%,62.2%,65.4%,52.0%,60.3%,38.6%,62.9%,42.0%
Wimbledon,6,Grass,8,2,6,25.0%,2,1,1,50.0%,2009,2015,R64,5,0.93,7.7%,1.3%,58.2%,69.5%,50.8%,61.7%,35.7%,64.1%,27.5%
US Open,7,Hard,15,8,7,53.3%,4,1,3,25.0%,2009,2015,R64,11,0.94,3.5%,2.7%,60.1%,65.7%,47.8%,58.5%,38.9%,54.7%,40.2%
Olympics,1,,1,0,1,0.0%,0,0,0,-,2012,2012,R64,1,0.58,4.6%,4.6%,67.7%,43.2%,38.1%,41.5%,34.1%,58.3%,100.0%
Davis Cup,7,,24,14,10,58.3%,13,10,3,76.9%,2008,2015,,0,,,,,,,,,,
Washington,8,Hard,20,12,8,60.0%,4,3,1,75.0%,2006,2015,QF,17,1.11,5.3%,2.2%,60.5%,70.9%,49.4%,62.4%,41.6%,59.6%,47.9%
Chennai,7,Hard,15,8,7,53.3%,2,1,1,50.0%,2009,2016,F,14,0.98,6.9%,2.4%,61.1%,69.3%,49.9%,61.7%,37.5%,54.9%,42.7%
Houston,5,Clay,11,5,6,45.5%,5,1,4,20.0%,2010,2015,R16,11,1.01,3.9%,3.6%,57.3%,67.9%,43.7%,57.6%,42.8%,57.5%,52.9%
Indian Wells Masters,4,Hard,10,6,4,60.0%,1,1,0,100.0%,2010,2014,R16,10,1.06,4.7%,3.3%,61.3%,71.4%,46.5%,61.8%,40.5%,59.3%,42.9%
Dubai,4,Hard,9,5,4,55.6%,2,2,0,100.0%,2010,2014,R16,9,1.06,6.7%,2.2%,59.9%,70.0%,56.6%,64.6%,37.5%,59.1%,27.9%
Miami Masters,4,Hard,9,5,4,55.6%,4,3,1,75.0%,2010,2014,R32,9,1.00,4.7%,1.8%,55.9%,67.5%,51.3%,60.4%,39.6%,62.7%,51.0%
