Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2016,1,0,1,0.0%,1-2,33.3%,18-20,47.4%,1-1,50.0%,1,94.4%,0.0%,16.2%,1.7%,64.1%,78.7%,61.9%,72.6%,32.6%,51.2%,1.19,R32 (Manila)
2015,36,19,17,52.8%,44-40,52.4%,411-394,51.1%,6-5,54.5%,33,70.6%,30.8%,4.7%,2.4%,58.6%,64.2%,51.9%,59.1%,41.9%,50.4%,1.02,W (2x)
2014,29,20,9,69.0%,40-23,63.5%,336-277,54.8%,5-5,50.0%,28,77.2%,32.5%,5.8%,2.4%,58.2%,69.6%,49.6%,61.2%,41.6%,51.4%,1.07,W (New Delhi)
2013,23,15,8,65.2%,30-21,58.8%,261-235,52.6%,3-5,37.5%,23,78.0%,28.6%,4.8%,3.4%,58.2%,68.1%,53.7%,62.1%,41.0%,51.4%,1.08,SF (4x)
2012,3,2,1,66.7%,4-4,50.0%,36-39,48.0%,0-0,-,3,63.2%,32.4%,3.0%,2.2%,53.5%,52.8%,57.0%,54.8%,40.6%,47.8%,0.90,QF (Charlottesville)
2011,7,3,4,42.9%,8-7,53.3%,69-67,50.7%,0-0,-,7,72.7%,30.1%,6.1%,1.9%,62.6%,65.7%,50.6%,60.0%,40.8%,50.5%,1.02,QF (Singapore)
2010,20,12,8,60.0%,28-21,57.1%,258-212,54.9%,1-6,14.3%,19,78.6%,33.3%,5.3%,2.1%,62.7%,68.4%,52.7%,62.5%,43.0%,52.7%,1.15,W (Izmir)
2009,26,12,14,46.2%,26-34,43.3%,286-294,49.3%,3-6,33.3%,0,,,,,,,,,,,,F (Charlottesville)
2008,19,12,7,63.2%,22-15,59.5%,193-176,52.3%,5-3,62.5%,0,,,,,,,,,,,,W (Lexington)
2003,2,0,2,0.0%,0-4,0.0%,10-24,29.4%,0-0,-,0,,,,,,,,,,,,R32 (2x)
Career,166,95,71,57.2%,203-171,54.3%,1878-1738,51.9%,24-31,43.6%,114,75.2%,30.8%,5.3%,2.5%,59.3%,67.0%,52.0%,60.9%,41.6%,51.2%,1.06,
