Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,189,85,104,45.0%,200-229,46.6%,1888-2037,48.1%,20-16,55.6%,170,60.1%,37.8%,1.8%,3.2%,65.0%,58.3%,46.8%,54.3%,44.7%,49.5%,0.98
Clay,28,8,20,28.6%,21-45,31.8%,253-351,41.9%,4-2,66.7%,28,51.3%,31.9%,1.0%,2.4%,71.5%,53.1%,45.3%,50.9%,43.2%,47.0%,0.88
Grass,17,4,13,23.5%,10-27,27.0%,143-199,41.8%,0-0,-,17,56.3%,30.3%,0.8%,3.1%,62.6%,57.3%,42.2%,51.7%,39.6%,45.8%,0.82
Grand Slams,31,7,24,22.6%,18-52,25.7%,253-371,40.5%,0-2,0.0%,31,52.5%,28.3%,1.4%,3.9%,64.5%,55.8%,42.5%,51.1%,40.5%,45.8%,0.83
Premiers,56,22,34,39.3%,51-76,40.2%,532-632,45.7%,6-3,66.7%,53,54.8%,38.6%,1.3%,3.2%,67.3%,55.6%,45.8%,52.4%,45.0%,48.7%,0.95
Internationals,113,53,60,46.9%,127-132,49.0%,1178-1231,48.9%,13-13,50.0%,102,61.4%,36.5%,2.0%,2.9%,65.0%,58.6%,47.7%,54.8%,44.6%,49.6%,0.99
Finals,2,1,1,50.0%,2-1,66.7%,18-16,52.9%,1-0,100.0%,2,61.1%,31.6%,0.8%,5.0%,71.7%,66.3%,44.1%,60.0%,39.0%,49.6%,0.97
Semi-finals,8,2,6,25.0%,5-13,27.8%,71-97,42.3%,1-2,33.3%,7,55.2%,39.7%,2.0%,1.6%,68.0%,53.9%,42.0%,50.1%,44.3%,47.1%,0.89
Quarter-finals,19,7,12,36.8%,18-27,40.0%,190-228,45.5%,2-2,50.0%,16,56.1%,36.4%,1.7%,2.6%,67.9%,55.3%,49.3%,53.4%,43.8%,48.5%,0.94
vs Righties,216,85,131,39.4%,207-288,41.8%,2101-2442,46.2%,23-17,57.5%,198,57.6%,35.4%,1.6%,3.2%,65.8%,57.2%,45.7%,53.3%,43.8%,48.5%,0.94
vs Lefties,14,8,6,57.1%,16-13,55.2%,134-122,52.3%,1-1,50.0%,13,65.3%,49.5%,2.1%,2.4%,64.2%,57.9%,51.6%,55.7%,48.2%,51.9%,1.09
vs Top 10,21,6,15,28.6%,15-32,31.9%,180-252,41.7%,3-1,75.0%,20,59.3%,28.1%,1.0%,3.2%,69.9%,56.5%,45.1%,53.0%,40.2%,46.6%,0.86
