Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2024 US Open R128,L vs Ponchet,80.9,85.4,10.0,77.5,87.0,107,62,76.0,5.4,,77.3,89,65
2019 US Open R128,L vs Williams,89.5,95.3,6.1,,,109,86,76.0,3.3,,,79,68
2019 Wimbledon R128,L vs Barty,87.2,90.9,5.1,92.6,91.1,99,73,76.1,5.3,77.8,70.0,84,67
2018 Wimbledon R64,L vs Halep,88.1,91.0,4.4,94.9,89.1,101,81,80.5,4.2,81.0,75.0,86,71
2017 US Open R64,L vs Goerges,85.8,89.1,5.1,91.8,86.2,101,78,77.6,3.5,77.7,,82,72
2017 US Open R128,W vs Van Uytvanck,83.9,87.9,7.2,92.4,84.1,102,66,71.3,3.6,74.0,69.7,78,65
2017 Roland Garros R128,L vs Pliskova,87.3,90.1,7.7,90.6,91.0,104,69,74.8,5.5,,71.0,84,64
2017 Australian Open R128,L vs Kovinic,87.7,91.9,7.8,93.8,85.5,115,79,80.8,5.1,84.5,81.0,95,70
2016 US Open R64,L vs Bondarenko,86.4,91.9,7.3,,,106,77,74.5,5.0,,,82,63
2016 US Open R128,W vs Puig,83.5,90.6,8.3,,,109,74,72.3,5.3,,,85,65
2016 Australian Open R64,L vs Konta,83.6,89.5,6.7,,,98,74,74.7,3.6,,,82,69
2016 Australian Open R128,W vs Witthoeft,88.5,93.2,8.2,,,102,61,78.2,5.7,,,87,67
2015 Wimbledon R128,L vs Wozniacki,85.6,90.7,4.5,,,99,82,73.4,3.3,,,80,67
2015 Australian Open R128,L vs Hantuchova,84.1,88.6,7.8,,,101,64,71.3,4.2,,,80,62
2014 US Open R64,L vs Safarova,77.2,80.5,8.5,,,98,63,69.5,4.0,,,76,62
Career (15 matches),,84.8,89.3,7.0,92.1,87.2,115,61,74.6,4.5,78.4,75.1,95,62
