Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,9,Hard,11,2,9,18.2%,1,0,1,0.0%,2013,2025,R64,10,0.83,2.3%,4.7%,63.3%,58.3%,39.5%,51.4%,40.4%,56.1%,41.8%
Roland Garros,8,Clay,10,2,8,20.0%,0,0,0,-,2013,2021,R64,10,0.82,0.7%,3.1%,66.9%,54.7%,39.0%,49.5%,41.4%,41.8%,42.0%
Wimbledon,6,Grass,8,2,6,25.0%,1,0,1,0.0%,2012,2019,R64,6,0.75,0.3%,3.6%,63.0%,56.3%,38.2%,49.6%,37.7%,44.2%,51.7%
US Open,9,Hard,17,8,9,47.1%,3,1,2,33.3%,2012,2024,R64,16,0.95,1.4%,3.1%,64.7%,54.3%,46.3%,51.5%,46.1%,50.3%,53.8%
Olympics,2,,3,1,2,33.3%,0,0,0,-,2016,2021,R32,2,0.93,2.2%,3.0%,65.9%,57.3%,45.7%,53.3%,43.3%,40.0%,87.5%
Fed Cup,4,,10,7,3,70.0%,1,1,0,100.0%,2015,2020,,7,1.44,1.4%,2.5%,65.4%,65.1%,59.5%,63.2%,53.0%,48.0%,48.6%
Ningbo,3,Hard,6,3,3,50.0%,0,0,0,-,2013,2025,QF,4,1.06,1.6%,5.3%,59.6%,59.6%,45.5%,53.9%,49.0%,42.3%,58.6%
Cleveland,2,Hard,2,0,2,0.0%,0,0,0,-,2024,2025,Q1,2,0.71,1.7%,8.6%,69.0%,48.8%,30.6%,43.1%,40.5%,31.3%,50.0%
Doha,7,Hard,18,10,8,55.6%,3,2,1,66.7%,2015,2025,QF,15,0.97,1.0%,3.0%,71.7%,55.6%,43.7%,52.3%,46.4%,49.6%,50.0%
Adelaide,2,Hard,2,0,2,0.0%,1,0,1,0.0%,2021,2025,R32,2,0.65,2.6%,2.6%,69.3%,50.6%,45.7%,49.1%,33.0%,52.6%,66.7%
Tokyo,2,Hard,4,2,2,50.0%,0,0,0,-,2015,2024,QF,1,0.77,1.7%,1.7%,75.9%,54.5%,28.6%,48.3%,39.7%,50.0%,25.0%
Osaka,2,Hard,2,0,2,0.0%,1,0,1,0.0%,2013,2024,R32,2,0.71,2.6%,3.5%,60.0%,46.4%,39.1%,43.5%,40.0%,31.3%,30.0%
