Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2018 Luxembourg Q1,L vs Lepchenko,0.91,0.54,45.0,2.2,3.4%,62.1%,3.7%,55.6%,34.6%,13.0%
2018 US Open R128,L vs Sharapova,1.02,0.82,58.8,2.5,0.0%,40.0%,0.0%,50.0%,38.5%,50.0%
2018 US Open Q3,W vs Pegula,1.23,1.63,41.9,2.2,0.0%,73.3%,6.9%,62.1%,38.5%,47.8%
2018 US Open Q2,W vs Kudermetova,0.97,1.16,75.2,5.6,3.8%,66.0%,4.1%,63.3%,33.3%,52.3%
2018 US Open Q1,W vs Zanevska,1.01,1.19,78.2,6.4,0.0%,56.5%,5.0%,65.0%,54.2%,38.3%
2018 Gstaad R16,L vs Stosur,0.92,0.57,44.4,2.7,7.4%,40.7%,0.0%,58.3%,25.9%,37.5%
2018 Gstaad R32,W vs Von Deichmann,0.97,1.29,63.7,4.4,0.0%,55.8%,2.6%,78.9%,36.4%,53.7%
2018 Wimbledon Q1,L vs Pieri,0.89,0.57,40.2,2.1,3.2%,58.1%,0.0%,46.4%,29.6%,30.4%
2018 Prague R32,L vs Allertova,0.79,0.68,49.1,2.2,3.6%,60.7%,0.0%,52.2%,40.6%,33.3%
2018 Prague Q3,W vs Korpatsch,0.99,1.43,53.6,2.2,3.4%,69.0%,0.0%,60.0%,47.1%,54.8%
2018 Prague Q2,W vs Melnikova,1.07,1.49,48.6,2.0,6.1%,78.8%,3.2%,54.8%,39.5%,53.1%
2018 Prague Q1,W vs Bouzkova,1.07,1.83,41.3,2.0,7.1%,60.7%,7.7%,73.1%,54.1%,60.0%
2018 Fed Cup RR,L vs Halep,0.98,0.56,33.8,2.2,3.6%,21.4%,0.0%,56.0%,22.2%,50.0%
2018 Charleston Q1,L vs Liu,0.91,0.76,55.5,2.9,0.0%,44.7%,0.0%,52.9%,53.7%,32.5%
2018 Budapest Q2,L vs Garcia Perez,0.90,0.82,61.7,5.2,0.0%,67.4%,0.0%,48.7%,34.8%,41.0%
2018 Budapest Q1,W vs Juvan,1.07,1.20,76.1,3.2,2.1%,59.6%,0.0%,59.1%,48.1%,43.2%
2018 Australian Open Q1,L vs Pera,0.95,0.74,53.8,2.0,0.0%,47.2%,5.9%,55.9%,33.3%,42.4%
2017 Toronto $60K F,L vs Bonaventure,0.93,0.80,61.8,3.4,0.0%,50.0%,5.9%,47.1%,41.3%,46.5%
2017 Toronto $60K SF,W vs Di Lorenzo,1.14,1.23,64.5,4.1,2.1%,46.8%,0.0%,61.4%,45.2%,55.6%
2017 Toronto $60K QF,W vs Bovina,1.09,1.74,47.0,2.0,4.0%,84.0%,0.0%,56.5%,50.0%,42.9%
2018 (17 matches),,0.98,0.98,56.9,2.7,2.3%,57.0%,2.3%,58.6%,40.2%,43.9%
2017 (34 matches),,1.02,1.17,57.7,2.7,2.0%,57.9%,2.3%,58.9%,47.1%,48.2%
2016 (29 matches),,0.99,1.11,54.8,2.6,1.8%,56.5%,1.3%,56.3%,48.9%,48.1%
2015 (14 matches),,1.04,1.35,49.2,2.5,1.4%,57.2%,3.0%,64.7%,51.7%,49.8%
Career (94 matches),,1.01,1.13,55.5,2.6,1.9%,57.2%,2.1%,58.8%,46.9%,47.6%
