Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2018 Luxembourg Q1,L vs Lepchenko,11% (1/9),0% (0/1),0/3,44% (4/9),25% (1/4),0/0,0/0,1/1,0/0,0/0
2018 US Open R128,L vs Sharapova,50% (5/10),80% (4/5),2/5,70% (7/10),14% (1/7),2/4,0/0,3/4,0/0,3/3
2018 US Open Q3,W vs Pegula,63% (5/8),60% (3/5),0/0,11% (1/9),100% (1/1),3/3,2/2,0/0,1/1,0/0
2018 US Open Q2,W vs Kudermetova,40% (6/15),100% (6/6),1/2,14% (2/14),0% (0/2),4/4,0/0,0/0,0/0,0/0
2018 US Open Q1,W vs Zanevska,47% (7/15),100% (7/7),2/5,40% (6/15),17% (1/6),2/5,0/1,0/0,0/0,0/0
2018 Gstaad R16,L vs Stosur,11% (1/9),100% (1/1),0/3,50% (4/8),0% (0/4),0/1,0/0,1/2,0/0,1/1
2018 Gstaad R32,W vs Von Deichmann,46% (6/13),67% (4/6),0/2,29% (4/14),50% (2/4),2/3,1/1,0/0,1/1,0/0
2018 Wimbledon Q1,L vs Pieri,22% (2/9),50% (1/2),1/3,50% (4/8),0% (0/4),0/1,0/0,1/2,0/0,1/1
2018 Prague R32,L vs Allertova,30% (3/10),67% (2/3),1/4,40% (4/10),0% (0/4),1/2,0/0,1/1,0/0,0/0
2018 Prague Q3,W vs Korpatsch,70% (7/10),86% (6/7),1/2,33% (3/9),33% (1/3),2/4,0/1,0/0,0/1,0/0
2018 Prague Q2,W vs Melnikova,60% (6/10),67% (4/6),1/2,27% (3/11),33% (1/3),2/4,2/2,1/1,1/1,0/0
2018 Prague Q1,W vs Bouzkova,86% (6/7),83% (5/6),1/1,25% (2/8),50% (1/2),3/4,1/1,0/0,1/1,0/0
2018 Fed Cup RR,L vs Halep,14% (1/7),100% (1/1),1/5,88% (7/8),14% (1/7),0/1,0/0,0/1,0/0,0/1
2018 Charleston Q1,L vs Liu,45% (5/11),80% (4/5),2/4,55% (6/11),17% (1/6),1/4,0/0,1/2,0/0,1/2
2018 Budapest Q2,L vs Garcia Perez,36% (5/14),60% (3/5),1/4,40% (6/15),0% (0/6),1/2,0/1,0/2,0/0,0/1
2018 Budapest Q1,W vs Juvan,44% (7/16),86% (6/7),3/4,40% (6/15),17% (1/6),3/5,0/0,0/1,0/0,0/0
2018 Australian Open Q1,L vs Pera,50% (5/10),60% (3/5),1/4,55% (6/11),17% (1/6),1/3,0/1,2/3,0/0,1/1
2017 Toronto $60K F,L vs Bonaventure,45% (5/11),80% (4/5),2/5,70% (7/10),29% (2/7),2/4,0/1,0/0,0/0,0/0
2017 Toronto $60K SF,W vs Di Lorenzo,50% (7/14),100% (7/7),3/5,57% (8/14),25% (2/8),4/5,0/1,0/1,0/0,0/0
2017 Toronto $60K QF,W vs Bovina,44% (4/9),100% (4/4),1/1,11% (1/9),0% (0/1),4/4,2/2,0/0,1/1,0/0
2018 (17 matches),,42.6%,76.9%,34.0%,40.5%,17.3%,54.0%,60.0%,55.0%,80.0%,70.0%
2017 (34 matches),,53.6%,84.0%,37.0%,42.0%,27.3%,72.1%,79.3%,53.8%,76.9%,60.0%
2016 (29 matches),,54.9%,84.7%,43.9%,45.9%,20.0%,65.6%,67.6%,43.5%,52.9%,38.5%
2015 (14 matches),,60.2%,83.1%,37.9%,36.2%,31.9%,78.4%,69.2%,57.1%,57.1%,50.0%
Career (94 matches),,52.8%,83.0%,38.9%,42.1%,23.6%,68.2%,70.9%,51.3%,64.3%,54.1%
