Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2019,22,9,13,40.9%,20-24,45.5%,172-200,46.2%,2-0,100.0%,0,,,,,,,,,,,,QF (2x)
2018,43,22,21,51.2%,49-50,49.5%,429-445,49.1%,4-3,57.1%,0,,,,,,,,,,,,W (Shymkent $15K)
2017,47,20,27,42.6%,43-60,41.7%,433-487,47.1%,3-3,50.0%,0,,,,,,,,,,,,SF (Shymkent $15K)
2016,22,10,12,45.5%,22-28,44.0%,215-232,48.1%,1-3,25.0%,0,,,,,,,,,,,,QF (4x)
2015,38,25,13,65.8%,56-35,61.5%,445-378,54.1%,5-2,71.4%,0,,,,,,,,,,,,W (2x)
2014,39,21,18,53.8%,45-40,52.9%,389-366,51.5%,2-4,33.3%,0,,,,,,,,,,,,SF (4x)
2013,48,28,20,58.3%,60-49,55.0%,502-484,50.9%,6-0,100.0%,0,,,,,,,,,,,,W (3x)
2012,30,16,14,53.3%,39-33,54.2%,345-299,53.6%,1-3,25.0%,0,,,,,,,,,,,,F (Shymkent 10K)
2011,14,7,7,50.0%,14-13,51.9%,120-122,49.6%,2-0,100.0%,0,,,,,,,,,,,,SF (Muzaffarnagar 25K)
2010,49,29,20,59.2%,65-47,58.0%,558-492,53.1%,6-5,54.5%,0,,,,,,,,,,,,W (2x)
2009,31,15,16,48.4%,37-36,50.7%,341-338,50.2%,3-2,60.0%,0,,,,,,,,,,,,F (Mildura 25K)
2008,54,34,20,63.0%,70-53,56.9%,589-519,53.2%,7-6,53.8%,0,,,,,,,,,,,,W (2x)
2007,24,10,14,41.7%,21-30,41.2%,220-239,47.9%,2-3,40.0%,0,,,,,,,,,,,,F (Moscow 10K)
2006,25,16,9,64.0%,33-23,58.9%,291-254,53.4%,4-4,50.0%,0,,,,,,,,,,,,W (Muzaffarnagar 10K)
2005,12,6,6,50.0%,16-11,59.3%,142-110,56.3%,1-2,33.3%,0,,,,,,,,,,,,QF (2x)
Career,498,268,230,53.8%,590-532,52.6%,5191-4965,51.1%,49-40,55.1%,0,,,,,,,,,,,,
