Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,93,31,62,33.3%,74-133,35.7%,799-1049,43.2%,3-13,18.8%,3,53.3%,16.7%,1.0%,4.6%,53.8%,54.7%,45.1%,50.3%,37.2%,43.8%,0.75
Clay,189,96,93,50.8%,218-212,50.7%,1995-2013,49.8%,22-17,56.4%,16,55.2%,37.4%,1.0%,3.4%,68.4%,57.3%,44.6%,53.3%,43.7%,48.4%,0.94
Grass,13,4,9,30.8%,10-18,35.7%,112-140,44.4%,2-2,50.0%,0,,,,,,,,,,,
Carpet,1,0,1,0.0%,1-2,33.3%,8-14,36.4%,0-0,-,0,,,,,,,,,,,
Grand Slams,47,14,33,29.8%,36-69,34.3%,403-541,42.7%,3-3,50.0%,4,63.6%,30.4%,0.8%,1.9%,72.0%,57.7%,50.0%,55.6%,42.5%,49.0%,0.96
Premiers,39,14,25,35.9%,29-52,35.8%,298-399,42.8%,1-2,33.3%,5,51.1%,27.7%,1.0%,4.3%,64.2%,53.6%,42.1%,49.5%,39.5%,44.5%,0.78
Internationals,170,84,86,49.4%,193-192,50.1%,1763-1806,49.4%,19-21,47.5%,10,52.0%,39.6%,1.1%,4.3%,63.6%,58.0%,43.4%,52.7%,44.4%,48.4%,0.94
Finals,5,2,3,40.0%,4-7,36.4%,45-58,43.7%,1-1,50.0%,0,,,,,,,,,,,
Semi-finals,7,4,3,57.1%,8-7,53.3%,70-67,51.1%,2-0,100.0%,0,,,,,,,,,,,
Quarter-finals,28,8,20,28.6%,21-42,33.3%,261-332,44.0%,2-5,28.6%,1,12.5%,37.5%,0.0%,7.1%,73.8%,35.5%,36.4%,35.7%,41.5%,38.9%,0.65
vs Righties,261,108,153,41.4%,251-330,43.2%,2471-2831,46.6%,20-29,40.8%,18,53.8%,33.3%,0.9%,3.5%,66.9%,56.6%,43.6%,52.3%,42.3%,47.2%,0.89
vs Lefties,29,18,11,62.1%,41-33,55.4%,371-343,52.0%,7-3,70.0%,1,77.8%,55.6%,2.8%,5.6%,54.2%,64.1%,57.6%,61.1%,51.5%,56.4%,1.32
vs Top 10,18,0,18,0.0%,4-36,10.0%,121-234,34.1%,0-1,0.0%,1,60.0%,33.3%,0.0%,0.0%,87.3%,53.9%,53.8%,53.9%,42.0%,48.0%,0.91
