Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2013 Madrid R32,L vs Williams,17.0%,18.9%,38.6%,20.7%,24.1%,39.1%,28.6%,46.7%,33.3%,12.5%,12.5%,38.1%,0.0%,50.0%,0.0%,-104
2012 US Open R64,L vs Sharapova,25.6%,28.2%,17.9%,23.8%,28.6%,25.0%,46.2%,25.0%,33.3%,29.4%,29.4%,8.3%,42.9%,40.0%,0.0%,-37
Career (2 matches),,20.7%,22.8%,30.6%,22.0%,26.0%,33.3%,37.0%,39.1%,33.3%,19.5%,19.5%,27.3%,15.8%,45.5%,0.0%,-75
