Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2026 Austin R16,W vs Jovic,28.2%,32.9%,59.3%,31.1%,37.7%,57.1%,21.4%,45.5%,0.0%,22.7%,22.7%,64.7%,72.7%,9.1%,-,-3
2025 Ningbo QF,L vs Rybakina,18.9%,30.2%,32.4%,31.0%,48.3%,40.0%,21.4%,46.7%,50.0%,6.7%,13.3%,21.4%,28.6%,12.5%,-,-71
2024 Birmingham F,L vs Putintseva,22.5%,33.8%,42.9%,27.1%,43.8%,51.4%,50.0%,40.0%,50.0%,17.6%,17.6%,21.4%,44.4%,12.5%,0.0%,31
2023 United Cup RR,L vs Boulter,32.7%,38.5%,42.4%,41.9%,45.2%,38.9%,46.2%,50.0%,100.0%,21.1%,31.6%,46.7%,33.3%,30.0%,0.0%,11
2022 BJK Cup Finals F,L vs Bencic,16.7%,20.4%,28.6%,20.0%,22.9%,28.6%,70.6%,38.9%,14.3%,12.5%,18.8%,28.6%,44.4%,14.3%,0.0%,2
2022 Ostrava R16,L vs Swiatek,12.9%,17.1%,50.9%,15.9%,20.5%,51.4%,37.5%,20.0%,33.3%,9.1%,13.6%,50.0%,14.3%,6.7%,0.0%,-30
2022 US Open QF,L vs Jabeur,17.9%,22.4%,47.8%,28.9%,36.8%,48.1%,26.3%,36.8%,0.0%,5.0%,5.0%,47.4%,37.5%,25.0%,100.0%,-79
2022 US Open R16,W vs Samsonova,27.6%,29.9%,50.0%,31.3%,33.3%,48.5%,27.3%,26.9%,33.3%,25.0%,27.8%,51.9%,8.3%,0.0%,0.0%,-11
2022 US Open R32,W vs Williams,20.5%,28.0%,45.2%,22.2%,29.6%,50.8%,18.2%,18.8%,12.5%,23.1%,33.3%,33.3%,45.0%,5.3%,0.0%,97
2022 Cincinnati QF,L vs Kvitova,20.8%,26.4%,38.9%,17.6%,26.5%,42.9%,56.3%,66.7%,50.0%,38.5%,38.5%,25.0%,60.0%,50.0%,-,184
2022 Toronto R32,L vs Swiatek,13.5%,13.5%,20.7%,21.1%,21.1%,26.7%,33.3%,28.6%,0.0%,6.7%,6.7%,14.3%,0.0%,0.0%,0.0%,-55
2022 Wimbledon QF,L vs Rybakina,27.5%,32.5%,36.8%,31.4%,37.3%,37.1%,27.3%,37.9%,25.0%,21.4%,25.0%,36.4%,43.8%,16.7%,100.0%,-62
2021 BJK Cup Finals SF,L vs Bencic,18.6%,27.9%,37.5%,24.0%,40.0%,47.4%,58.3%,38.5%,50.0%,13.3%,13.3%,23.1%,85.7%,12.5%,50.0%,9
2021 Moscow R16,L vs Sabalenka,23.7%,33.3%,46.3%,26.2%,37.7%,48.9%,53.3%,54.8%,50.0%,21.4%,28.6%,40.9%,50.0%,31.3%,0.0%,47
2021 US Open R32,L vs Pliskova,23.1%,28.8%,47.4%,21.9%,28.1%,56.0%,42.9%,38.9%,50.0%,27.8%,33.3%,30.8%,33.3%,11.1%,0.0%,17
2021 Tokyo Olympics R32,L vs Svitolina,11.8%,18.8%,47.2%,13.7%,25.5%,45.5%,59.1%,48.3%,71.4%,9.7%,9.7%,50.0%,43.8%,20.0%,16.7%,-17
2021 Wimbledon QF,L vs Barty,10.7%,17.9%,37.5%,17.6%,23.5%,35.7%,42.9%,50.0%,57.1%,0.0%,10.0%,40.0%,38.5%,14.3%,0.0%,-119
2021 Wimbledon R32,W vs Ostapenko,31.0%,33.3%,39.3%,37.9%,41.4%,38.9%,62.1%,41.4%,0.0%,16.7%,16.7%,40.0%,45.5%,30.8%,0.0%,-11
2021 Australian Open R64,L vs Halep,19.4%,23.3%,41.9%,26.5%,32.4%,36.0%,54.5%,42.9%,25.0%,7.7%,7.7%,54.2%,58.3%,14.3%,0.0%,-53
2021 Abu Dhabi R32,L vs Sabalenka,21.2%,28.2%,35.5%,26.2%,34.4%,40.0%,50.0%,45.2%,25.0%,10.5%,15.8%,23.5%,100.0%,0.0%,0.0%,-23
Last 52 Weeks (2 matches),,24.6%,31.9%,49.5%,31.1%,41.1%,51.6%,21.4%,45.8%,44.4%,16.2%,18.9%,45.2%,55.6%,10.5%,-,25
Career (43 matches),,21.8%,28.9%,43.9%,26.1%,36.1%,47.0%,45.0%,38.7%,35.0%,17.9%,21.3%,38.7%,51.6%,13.6%,8.3%,56
