Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2019 Bucharest R32,W vs Cadantu Ignatik,1.07,1.73,48.3,2.2,-,70.0%,-,78.6%,29.6%,56.5%
2019 Birmingham Q3,W vs Bouzkova,1.00,1.22,62.8,7.6,-,66.0%,-,60.5%,44.4%,44.2%
2019 S-Hertogenbosch R32,L vs Tsurenko,0.95,0.69,56.7,2.4,-,69.4%,-,41.2%,32.1%,32.0%
2019 Rome Q2,L vs Cornet,0.89,0.86,58.3,3.3,-,51.1%,-,58.5%,40.9%,47.4%
2019 Madrid R32,L vs Vekic,0.88,0.74,55.3,2.5,12.1%,63.6%,6.9%,48.3%,34.3%,39.4%
2019 Madrid R64,W vs Kostyuk,0.97,1.25,57.7,4.0,8.7%,63.0%,2.4%,59.5%,51.1%,48.9%
2019 Madrid Q2,W vs Kanepi,1.05,1.39,50.3,3.5,21.6%,70.3%,8.6%,57.1%,42.1%,54.3%
2019 Madrid Q1,W vs Krunic,1.13,1.41,53.9,2.6,8.8%,73.5%,6.5%,48.4%,41.4%,55.6%
2019 Prague R32,L vs Vikhlyantseva,0.99,0.65,45.6,2.0,12.9%,51.6%,0.0%,70.4%,18.8%,34.5%
2019 Lugano SF,L vs Swiatek,0.91,0.49,35.8,2.1,0.0%,35.0%,11.1%,38.9%,33.3%,34.6%
2019 Lugano QF,W vs Kuznetsova,1.07,1.17,71.1,4.0,12.5%,55.4%,5.9%,68.6%,37.3%,46.8%
2019 Lugano R16,W vs Lottner,1.02,1.78,46.4,2.2,11.5%,73.1%,26.1%,73.9%,45.7%,46.9%
2019 Lugano R32,W vs In Albon,1.03,1.46,54.0,2.5,9.4%,65.6%,13.8%,72.4%,40.0%,48.5%
2019 Charleston R64,L vs Baindl,1.07,0.76,63.1,2.9,5.1%,51.3%,7.7%,51.3%,26.7%,42.9%
2019 Miami R128,L vs Jabeur,0.85,0.79,66.7,4.6,10.6%,53.2%,10.0%,65.0%,40.4%,35.9%
2019 Miami Q2,L vs Wickmayer,0.84,0.70,49.4,2.8,17.2%,58.6%,14.8%,55.6%,31.4%,40.6%
2019 Miami Q1,W vs Bogdan,1.17,1.30,67.4,6.6,15.9%,61.4%,17.5%,65.0%,42.9%,39.2%
2019 Guadalajara QF,L vs Kudermetova,0.95,0.81,77.6,8.1,9.4%,59.4%,8.8%,63.2%,43.1%,21.4%
2019 Guadalajara R16,W vs Wickmayer,1.13,1.10,75.1,7.1,11.5%,69.2%,18.8%,70.8%,22.2%,37.5%
2019 Guadalajara R32,W vs Wang,1.11,1.41,52.4,2.5,18.2%,69.7%,18.8%,75.0%,30.3%,40.7%
2019 (30 matches),,1.01,1.01,62.1,3.1,10.6%,59.8%,10.6%,61.8%,38.5%,39.9%
2018 (52 matches),,1.00,1.03,58.2,2.7,9.9%,60.1%,10.8%,62.6%,38.5%,41.9%
2017 (53 matches),,1.03,1.05,62.8,2.9,9.9%,58.4%,10.2%,61.7%,39.9%,42.5%
2016 (56 matches),,1.04,1.15,60.3,2.8,11.5%,61.2%,12.6%,64.2%,40.5%,42.0%
2015 (17 matches),,0.99,0.92,63.4,3.1,7.3%,54.3%,11.5%,61.3%,36.9%,41.8%
Career (283 matches),,1.02,1.05,60.4,2.9,9.6%,59.4%,10.6%,62.5%,39.3%,41.3%
