Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2020 Prague R32,W vs Fruhvirtova,32.9%,45.7%,52.5%,48.6%,59.5%,52.6%,50.0%,42.9%,0.0%,19.2%,38.5%,52.4%,27.3%,40.0%,50.0%,56
2020 Shenzhen SF,L vs Rybakina,29.3%,51.7%,52.8%,34.2%,63.2%,56.0%,50.0%,68.2%,100.0%,26.7%,40.0%,45.5%,11.1%,66.7%,100.0%,111
2020 Shenzhen R16,W vs Sabalenka,37.1%,50.0%,55.0%,52.2%,63.0%,72.7%,45.0%,46.2%,37.5%,10.0%,30.0%,33.3%,27.3%,44.4%,-,-23
2019 Bucharest QF,L vs Tig,24.3%,48.6%,55.8%,29.8%,59.6%,63.6%,52.4%,65.4%,33.3%,17.4%,34.8%,42.1%,38.5%,60.0%,-,52
2019 Wimbledon R128,L vs Juvan,33.7%,47.4%,49.1%,37.3%,55.9%,54.1%,47.8%,44.4%,50.0%,35.7%,42.9%,38.9%,5.9%,36.4%,100.0%,164
2019 Birmingham R16,W vs Pliskova,45.7%,55.3%,41.9%,60.3%,74.1%,56.5%,52.2%,48.6%,50.0%,28.6%,32.1%,25.0%,43.8%,58.3%,0.0%,137
2019 Lugano R32,W vs In Albon,36.1%,47.5%,55.6%,45.5%,66.7%,66.7%,52.9%,50.0%,100.0%,28.0%,28.0%,44.4%,50.0%,61.5%,50.0%,25
2018 Madrid R16,L vs Halep,31.1%,36.1%,35.9%,41.2%,47.1%,40.0%,66.7%,47.4%,50.0%,20.8%,25.0%,31.6%,16.7%,50.0%,100.0%,30
2018 Prague QF,L vs Buzarnescu,26.2%,36.1%,37.8%,26.2%,38.1%,41.9%,52.9%,48.0%,0.0%,26.3%,31.6%,28.6%,45.5%,12.5%,0.0%,-104
2018 Charleston R32,W vs Kvitova,31.9%,39.6%,33.9%,41.5%,52.8%,35.5%,33.3%,82.8%,100.0%,20.0%,22.9%,32.1%,20.0%,50.0%,66.7%,-9
2018 Indian Wells R64,L vs Halep,32.8%,40.6%,19.5%,44.7%,52.6%,23.8%,43.8%,36.4%,50.0%,16.7%,25.0%,15.0%,46.2%,36.4%,33.3%,-11
2018 Acapulco R32,L vs Zarazua,15.7%,27.1%,44.2%,40.7%,55.6%,43.8%,50.0%,76.9%,100.0%,0.0%,11.1%,44.4%,35.3%,21.1%,40.0%,-119
2018 Shenzhen R32,W vs Ostapenko,47.5%,50.8%,25.9%,55.6%,61.1%,37.5%,52.6%,58.8%,66.7%,45.0%,45.0%,9.1%,37.5%,66.7%,-,137
2017 Moscow R32,L vs Saville,21.0%,32.4%,37.5%,36.4%,61.4%,53.6%,41.2%,59.3%,60.0%,17.6%,20.6%,21.4%,31.3%,66.7%,100.0%,42
2017 Beijing R64,L vs Kvitova,26.9%,37.3%,51.2%,36.4%,54.5%,52.4%,26.7%,27.8%,25.0%,21.4%,25.0%,50.0%,21.4%,57.1%,66.7%,84
2017 Madrid R64,L vs Halep,27.9%,32.6%,32.1%,41.2%,47.1%,40.0%,42.9%,30.0%,50.0%,21.7%,26.1%,27.8%,15.4%,30.0%,33.3%,35
2017 Prague QF,W vs Haddad Maia,36.8%,47.2%,48.4%,44.9%,59.0%,58.1%,53.1%,47.8%,33.3%,17.4%,17.4%,26.3%,10.0%,46.2%,75.0%,46
2017 Biel QF,L vs Vondrousova,28.8%,39.4%,39.5%,39.5%,57.9%,60.9%,16.7%,70.0%,66.7%,16.7%,16.7%,15.0%,7.7%,63.6%,100.0%,46
2017 Miami R128,L vs Minella,23.2%,34.8%,47.5%,35.6%,54.2%,44.7%,50.0%,67.6%,75.0%,10.6%,14.9%,50.0%,3.8%,42.9%,25.0%,-10
2017 Indian Wells R32,L vs Cibulkova,40.6%,50.0%,44.1%,61.3%,72.6%,45.8%,44.4%,42.9%,0.0%,12.5%,20.0%,42.9%,28.6%,30.8%,66.7%,6
Career (27 matches),,32.3%,42.5%,43.7%,44.6%,58.8%,49.6%,44.7%,52.5%,48.3%,18.8%,24.8%,37.2%,21.1%,44.0%,59.4%,67
