Date,Tournament,Surface,Rd,,Score
05-Oct-1970,Paris Closed,Clay,F,Sherriff / Francoise Durr [FRA] d. Odile De Roubin / Evelyne Terras [FRA],6-1 6-1
14-Sep-1970,Paris Coupe Poree,Clay,F,Sherriff / Rosie Reyes [FRA] d. Odile De Roubin / Claudine Rouire [FRA],6-2 6-1
24-Aug-1970,South Orange,Grass,F,Rosie Casals [USA] / Virginia Wade [GBR] d. Sherriff / Francoise Durr [FRA],6-3 6-4
18-Aug-1970,Haverford,Grass,F,(3) Sherriff / Francoise Durr [FRA] d. (4) Mary Ann Eisel / Valerie Ziegenfuss [USA],6-3 6-2
27-Jul-1970,Indianapolis,Clay,F,Sherriff / Rosie Casals [USA] d. Helen Gourlay [AUS] / Patricia Walkden [RSA],6-2 6-2
20-Jul-1970,Cincinnati,Clay,F,Sherriff / Rosie Casals [USA] d. Helen Gourlay [AUS] / Patricia Walkden [RSA],12-10 6-1
25-May-1970,Roland Garros,Clay,F,(3) Sherriff / Francoise Durr [FRA] d. (1) Rosie Casals / Billie Jean King [USA],6-1 3-6 6-3
14-Apr-1970,Monte Carlo,Clay,F,Sherriff / Francoise Durr [FRA] d. Winnie Shaw / Virginia Wade [GBR],6-2 6-3
06-Apr-1970,Nice Lawn Club,Clay,F,Sherriff / Helga Masthoff [FRG] d. Marilyn Aschner / Julie Heldman [USA],6-3 6-3
24-Mar-1970,Monte Carlo Intl,Clay,F,Sherriff / Lexie Kenny [AUS] d. Silvana Lazzarino / Lea Pericoli [ITA],7-5 7-5
16-Mar-1970,Nice Intl,Clay,F,Sherriff / Lexie Kenny [AUS] d. Monique Salfati / Daniela Marzano [ITA],6-2 6-3
10-Mar-1970,Menton,Clay,F,Sherriff / Marilyn Aschner [USA] d. Marijke Jansen / Trudy Groenman [NED],6-3 6-1
06-Oct-1969,Nice Natls,Clay,F,Sherriff / Christiane Spinoza [FRA] d. Janine Lieffrig / Evelyne Terras [FRA],8-6 6-2
11-Aug-1969,Haverford,Grass,F,(1) Margaret Court [AUS] / Virginia Wade [GBR] d. Sherriff / Lesley Hunt [AUS],6-3 6-0
21-Jul-1969,Indianapolis,Clay,F,Sherriff / Lesley Turner [AUS] d. Emilie Burrer / Linda Tuero [USA],6-0 10-8
23-May-1969,Fed Cup WG QF: FRA vs AUS,Clay,RR,Margaret Court / Judy Tegart [AUS] d. Sherriff / Rosie Reyes [FRA],6-1 6-2
22-May-1969,Fed Cup WG R2: RSA vs FRA,Clay,RR,Sherriff / Rosie Reyes [FRA] d. Brenda Kirk / Maryna Godwin [RSA],6-4 6-2
06-May-1969,Brussels,Clay,F,Francoise Durr [FRA] / Ann Jones [GBR] d. Sherriff / Rosie Reyes [FRA],7-9 6-3 6-1
16-Apr-1969,Monte Carlo,Clay,F,Ann Jones / Virginia Wade [GBR] d. Sherriff / Francoise Durr [FRA],1-6 6-4 6-3
31-Mar-1969,Monte Carlo Intl,Clay,F,Sherriff / Rosie Reyes [FRA] d. Robin Lloyd / Winnie Shaw [GBR],6-4 6-2
