Date,Tournament,Surface,Rd,,Score
05-Oct-1970,Paris Closed,Clay,F,Francoise Durr / Jean Claude Barclay [FRA] d. Sherriff / Patrice Beust [FRA],W/O
23-Feb-1970,Lyon,Carpet,F,Sherriff / Paul Hutchins [GBR] d. Odile De Roubin [FRA] / Sever Dron [ROU],7-5 6-3
28-Apr-1969,Naples,Clay,F,Helen Gourlay / Allan Stone [AUS] d. Sherriff / Patricio Rodriguez Chi [CHI],6-2 6-3
01-Sep-1968,Brumana,Clay,F,Sherriff / Ray Ruffels [AUS] d. Fay Toyne / Jimmy Moore [AUS],6-2 6-4
25-Aug-1968,Ankara,,F,Sherriff / Owen Davidson [AUS] vs Lesley Turner [AUS] / Robert Maud [RSA],7-6 ABD
19-Aug-1968,Istanbul,Clay,F,Sherriff / Owen Davidson [AUS] d. Carmen Coronado [ESP] / Jose Edison Mandarino [BRA],5-7 6-2 6-3
22-Jul-1968,Deauville,Clay,F,Sherriff / Jean Baptiste Chanfreau [FRA] d. Rosie Reyes [FRA] / Mark Cox [GBR],9-7 6-4
20-May-1968,Brussels,Clay,F,Fay Toyne / Jimmy Moore [AUS] d. Sherriff / Jean Baptiste Chanfreau [FRA],4-6 6-1 6-4
11-Mar-1968,Alexandria,Clay,F,Sherriff / J J Carmichael [GBR] d. Carol Ann Kalogeropoulos / Nicholas Kalogeropoulos [GRE],6-1 6-2
01-Mar-1968,Cairo,Clay,F,Sherriff / J J Carmichael [GBR] d. Lea Pericoli [ITA] / Ismail El Shafei [EGY],6-4 6-1
28-Jan-1968,Auckland Wills Intl,Grass,F,Sherriff / Juan Gisbert [ESP] d. Kerry Reid / Dick Crealy [AUS],7-5 13-11
31-Jul-1967,Hamburg,Clay,F,Sherriff / Tom Okker [NED] d. Edda Buding [FRG] / Stan Smith [USA],6-3 6-2
02-Jan-1967,Perth,Grass,F,Sherriff / Tony Roche [AUS] d. Margaret Court / Brian Bowman [AUS],9-7 6-4
28-Feb-1966,Curacao,,F,Norma Baylon [ARG] / Nikola Pilic [CRO] d. Sherriff / Martin Mulligan [AUS],12-10 6-4
11-Aug-1965,Kitzbuhel,Clay,F,Jitka Horcickova / Jiri Javorsky [TCH] d. Sherriff / Robert Maud [RSA],6-0 9-7
05-Apr-1965,Nice,Clay,F,Sherriff / Tom Okker [NED] d. Christiane Mercelis [BEL] / Robin Sanders [RSA],6-3 6-4
07-Nov-1964,Brisbane,Grass,F,Robyn Ebbern / Owen Davidson [AUS] d. Sherriff / Tony Roche [AUS],6-3 7-5
