Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
1991 Paris R64,W vs Santoro,3.0,2.7,3.3,52.0%,51.5%,75.0%,100.0%,46.0%,60.7%,3.5,7.6,-5.5,-26.2
1990 US Open R64,L vs Becker,3.0,2.4,3.6,48.7%,36.2%,18.2%,50.0%,35.7%,79.3%,-9.5,-24.4,-2.0,-12.5
1990 Roland Garros R128,W vs Clavet,3.6,2.7,4.5,49.5%,43.8%,35.3%,73.7%,38.8%,48.1%,-1.0,-0.8,1.0,0.9
1990 Australian Open SF,L vs Lendl,3.3,2.5,4.2,46.2%,31.4%,9.1%,25.0%,26.6%,84.3%,-3.0,-11.1,-1.5,-13.6
1986 Forest Hills SF,W vs Lendl,4.4,3.2,5.3,64.9%,48.4%,58.3%,52.9%,34.4%,59.9%,-0.5,-0.8,5.5,9.8
1985 Rome F,W vs Mecir,4.7,3.7,5.5,48.8%,63.9%,48.5%,44.4%,37.7%,54.7%,3.0,2.0,5.0,3.9
1983 Roland Garros F,W vs Wilander,6.7,4.8,8.3,52.0%,54.0%,45.5%,56.8%,33.8%,58.8%,-4.5,-2.6,3.0,2.0
1983 Roland Garros SF,W vs Roger Vasselin,5.1,4.8,5.4,71.2%,53.3%,68.4%,72.2%,33.9%,41.6%,1.5,2.1,12.5,13.6
1982 Davis Cup EUR SF RR,W vs Lendl,3.5,3.0,3.9,62.8%,39.5%,26.1%,55.6%,41.8%,61.9%,1.0,0.9,7.5,12.1
Career (9 matches),,4.1,3.3,4.9,54.1%,47.6%,42.4%,58.2%,36.6%,58.1%,-1.1,-1.2,2.8,4.0
