Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
1991 Paris R64,W vs Santoro,16.0%,33.3%,60.5%,23.1%,35.5%,58.1%,65.0%,52.6%,38.5%,22.2%,100.0%,4.2%,29.2%,56.5%,-77
1990 US Open R64,L vs Becker,37.4%,44.0%,36.7%,40.4%,60.0%,65.7%,50.0%,68.0%,26.3%,37.5%,-,27.1%,35.4%,31.4%,64
1990 Roland Garros R128,W vs Clavet,26.3%,37.5%,47.4%,32.6%,40.5%,55.7%,51.1%,52.7%,51.4%,35.7%,50.0%,20.5%,33.3%,41.9%,29
1990 Australian Open SF,L vs Lendl,35.6%,43.8%,28.3%,37.0%,53.8%,59.0%,16.7%,56.4%,26.7%,37.5%,25.0%,15.2%,27.3%,35.7%,-35
1986 Forest Hills SF,W vs Lendl,50.9%,64.9%,51.9%,60.2%,61.5%,79.5%,66.7%,75.1%,52.9%,50.0%,33.3%,29.4%,35.3%,33.3%,5
1985 Rome F,W vs Mecir,27.6%,37.9%,47.5%,32.1%,38.9%,53.7%,51.5%,48.5%,42.3%,46.4%,0.0%,19.0%,25.9%,44.7%,-5
1983 Roland Garros F,W vs Wilander,15.5%,25.2%,55.8%,24.8%,27.3%,40.0%,57.5%,44.5%,45.5%,54.5%,0.0%,2.1%,8.5%,54.3%,-95
1983 Roland Garros SF,W vs Roger Vasselin,18.2%,31.2%,56.5%,27.1%,22.0%,43.9%,56.3%,38.8%,40.0%,73.1%,100.0%,14.3%,17.1%,56.7%,-37
1982 Davis Cup EUR SF RR,W vs Lendl,23.3%,34.9%,41.5%,27.9%,42.3%,56.3%,36.6%,51.8%,36.4%,63.2%,55.6%,8.9%,24.4%,46.3%,-28
Career (9 matches),,26.6%,37.8%,47.6%,32.5%,41.4%,55.9%,50.0%,53.2%,41.1%,48.2%,51.7%,15.3%,25.4%,45.4%,11
