Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2017,1,0,1,0.0%,0-1,0.0%,3-6,33.3%,0-0,-,1,0.0%,33.3%,5.8%,9.6%,48.1%,60.0%,29.6%,44.2%,44.7%,44.4%,0.80,R128 (Australian Open)
2016,15,5,10,33.3%,13-22,37.1%,135-180,42.9%,2-1,66.7%,15,57.1%,29.0%,4.2%,7.5%,56.0%,62.5%,41.6%,53.3%,41.0%,47.3%,0.88,QF (Bastad)
2015,42,22,20,52.4%,50-44,53.2%,461-435,51.5%,7-8,46.7%,41,62.0%,40.6%,3.6%,6.0%,64.3%,62.3%,48.4%,57.4%,43.5%,50.6%,1.02,W (Nuremberg)
2014,43,20,23,46.5%,46-49,48.4%,428-459,48.3%,6-3,66.7%,38,-,-,5.2%,6.9%,57.5%,65.1%,42.3%,55.4%,42.5%,49.1%,0.95,W (Tashkent)
2013,36,20,16,55.6%,48-37,56.5%,414-381,52.1%,5-3,62.5%,30,-,-,4.1%,6.9%,56.8%,66.7%,43.6%,56.8%,44.9%,50.9%,1.04,SF (2x)
2012,14,7,7,50.0%,16-19,45.7%,145-169,46.2%,1-1,50.0%,14,-,-,2.0%,7.6%,59.0%,60.4%,40.9%,52.4%,44.8%,48.6%,0.94,SF (Estoril)
2011,3,0,3,0.0%,3-6,33.3%,45-55,45.0%,2-1,66.7%,3,-,-,0.8%,8.9%,58.9%,60.2%,39.5%,51.7%,41.9%,47.2%,0.87,R32 (2x)
2009,9,3,6,33.3%,5-12,29.4%,64-88,42.1%,1-1,50.0%,8,-,-,1.3%,9.1%,50.6%,58.3%,41.9%,50.2%,44.6%,47.3%,0.90,R32 (3x)
2008,26,11,15,42.3%,27-33,45.0%,249-298,45.5%,5-3,62.5%,21,-,-,3.0%,7.0%,60.8%,61.1%,41.3%,53.4%,44.2%,48.8%,0.95,F (Antwerp)
2007,28,14,14,50.0%,34-35,49.3%,323-321,50.2%,6-3,66.7%,19,-,-,3.9%,8.1%,54.3%,64.7%,42.6%,54.6%,44.3%,49.4%,0.98,SF (3x)
2006,7,3,4,42.9%,8-9,47.1%,93-85,52.2%,2-4,33.3%,2,-,-,3.5%,6.4%,54.6%,67.5%,46.9%,58.2%,43.5%,51.1%,1.04,QF (Palermo)
Career,224,105,119,46.9%,250-267,48.4%,2360-2477,48.8%,37-28,56.9%,192,59.9%,37.0%,3.7%,7.1%,58.6%,63.4%,43.3%,55.0%,43.6%,49.4%,0.97,
