Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,168,84,84,50.0%,206-206,50.0%,2010-2007,50.0%,27-30,47.4%,162,76.9%,22.7%,6.5%,2.5%,63.5%,69.7%,50.0%,62.5%,37.2%,49.9%,0.99
Clay,78,36,42,46.2%,86-105,45.0%,893-953,48.4%,14-20,41.2%,75,72.8%,24.7%,4.2%,2.4%,65.1%,65.0%,52.5%,60.6%,38.3%,49.6%,0.97
Grass,11,5,6,45.5%,14-21,40.0%,172-185,48.2%,1-5,16.7%,11,80.9%,16.3%,6.6%,2.9%,63.5%,69.0%,53.4%,63.3%,33.0%,48.6%,0.90
Grand Slams,40,14,26,35.0%,56-89,38.6%,672-771,46.6%,14-18,43.8%,40,72.9%,20.1%,5.9%,3.0%,63.9%,68.3%,47.7%,60.8%,36.0%,48.5%,0.92
Masters,59,26,33,44.1%,60-71,45.8%,623-646,49.1%,9-13,40.9%,58,76.0%,22.8%,5.3%,2.4%,63.0%,67.9%,52.8%,62.3%,36.8%,49.7%,0.98
Other Tours,146,77,69,52.7%,172-162,51.5%,1641-1610,50.5%,18-23,43.9%,144,76.9%,24.2%,5.9%,2.3%,64.3%,68.2%,51.5%,62.2%,38.0%,50.1%,1.01
Best of 5,44,16,28,36.4%,62-94,39.7%,720-818,46.8%,14-18,43.8%,40,72.9%,20.1%,5.9%,3.0%,63.9%,68.3%,47.7%,60.8%,36.0%,48.5%,0.92
Best of 3,213,109,104,51.2%,244-238,50.6%,2355-2327,50.3%,28-37,43.1%,208,76.9%,23.8%,5.8%,2.3%,64.0%,68.2%,51.9%,62.4%,37.7%,50.1%,1.00
Finals,5,0,5,0.0%,2-10,16.7%,45-70,39.1%,0-0,-,5,69.0%,8.8%,3.6%,2.6%,69.3%,62.7%,45.4%,57.4%,24.3%,43.0%,0.57
Semi-finals,11,5,6,45.5%,11-14,44.0%,122-127,49.0%,2-4,33.3%,11,82.5%,17.1%,5.2%,2.3%,69.0%,69.1%,53.9%,64.4%,33.1%,49.0%,0.93
Quarter-finals,24,11,13,45.8%,27-29,48.2%,285-276,50.8%,2-7,22.2%,23,78.3%,24.0%,6.3%,2.8%,63.6%,67.7%,53.0%,62.4%,38.1%,50.1%,1.01
vs Righties,230,113,117,49.1%,279-292,48.9%,2773-2800,49.8%,37-49,43.0%,222,76.4%,23.1%,5.7%,2.5%,63.6%,68.4%,51.5%,62.2%,37.3%,49.9%,0.99
vs Lefties,26,11,15,42.3%,25-39,39.1%,286-333,46.2%,5-6,45.5%,25,71.6%,21.6%,6.3%,2.7%,67.4%,67.1%,45.1%,59.9%,37.0%,48.4%,0.92
vs Top 10,34,5,29,14.7%,14-66,17.5%,324-462,41.2%,1-12,7.7%,33,66.7%,16.9%,3.2%,3.2%,63.2%,63.9%,46.2%,57.4%,33.4%,45.8%,0.78
