Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2023 Monte Carlo R64,L vs Bautista Agut,13.6%,28.2%,55.3%,22.0%,13.4%,28.4%,51.7%,27.2%,43.8%,60.0%,33.3%,14.3%,28.6%,61.1%,-44
2023 Australian Open R128,L vs Rune,23.4%,31.9%,40.6%,27.2%,34.4%,44.3%,45.0%,40.3%,33.3%,61.8%,40.0%,3.3%,10.0%,34.5%,-85
2022 Cincinnati R64,W vs Evans,21.8%,40.0%,69.2%,29.6%,35.7%,53.6%,77.8%,51.1%,23.5%,63.6%,100.0%,8.7%,30.4%,61.9%,-37
2022 Wimbledon R64,L vs Kyrgios,23.0%,32.2%,37.5%,27.9%,32.1%,41.5%,33.3%,40.2%,50.0%,60.0%,60.0%,9.7%,19.4%,42.9%,-21
2022 Queens Club F,L vs Berrettini,32.4%,39.7%,40.9%,36.2%,41.3%,50.0%,33.3%,47.0%,50.0%,77.3%,66.7%,15.0%,20.0%,52.9%,32
2022 Queens Club SF,W vs Cilic,33.9%,53.6%,59.5%,42.0%,41.0%,64.1%,56.5%,52.6%,31.6%,50.0%,50.0%,17.6%,29.4%,64.3%,-79
2022 Rome R32,W vs Rublev,25.0%,39.3%,61.9%,32.7%,31.6%,44.7%,65.4%,42.9%,52.9%,66.7%,66.7%,11.1%,27.8%,56.3%,-79
2022 Madrid R64,L vs Isner,34.3%,44.3%,59.1%,39.7%,38.0%,46.0%,58.1%,45.6%,47.4%,54.8%,50.0%,27.8%,44.4%,61.5%,72
2022 Indian Wells R64,L vs Monfils,26.1%,43.5%,58.8%,35.0%,32.1%,57.1%,63.2%,46.8%,30.8%,53.3%,50.0%,16.7%,22.2%,53.3%,-79
2021 Paris R64,L vs Opelka,38.1%,46.0%,52.8%,44.9%,47.4%,60.5%,70.0%,58.7%,46.7%,47.8%,-,27.3%,27.3%,31.3%,103
2021 Hamburg F,L vs Carreno Busta,18.9%,26.4%,48.8%,24.0%,20.0%,30.0%,58.3%,29.0%,46.7%,66.7%,-,17.4%,21.7%,36.8%,-79
2021 Monte Carlo R16,L vs Fognini,13.4%,19.4%,50.0%,17.6%,16.7%,21.4%,45.7%,23.3%,42.1%,69.6%,33.3%,8.0%,16.0%,56.5%,-79
2021 Australian Open R32,L vs Medvedev,17.6%,29.6%,50.9%,27.6%,18.5%,33.7%,56.0%,33.9%,39.5%,36.7%,22.2%,17.0%,23.4%,41.0%,12
2021 Australian Open R128,W vs Haase,41.1%,53.6%,56.3%,48.2%,52.7%,66.2%,62.9%,63.5%,22.9%,41.0%,-,19.4%,30.6%,48.3%,1
2020 Rotterdam SF,L vs Monfils,15.1%,27.9%,54.9%,24.0%,19.0%,31.7%,54.9%,31.1%,42.9%,34.3%,60.0%,4.8%,19.0%,55.0%,-70
2020 Rotterdam QF,W vs Rublev,20.8%,33.3%,63.2%,26.5%,31.7%,48.8%,71.4%,41.7%,33.3%,46.2%,66.7%,6.5%,12.9%,55.2%,-79
2020 Rotterdam R32,W vs Griekspoor,35.4%,52.1%,63.3%,45.4%,46.4%,67.9%,80.0%,63.6%,46.7%,53.8%,-,21.1%,31.6%,46.7%,-3
2019 Basel R16,W vs Fognini,35.7%,46.4%,60.0%,43.4%,42.1%,55.3%,68.2%,53.4%,29.4%,47.6%,100.0%,23.5%,29.4%,46.2%,5
2019 Stockholm F,L vs Shapovalov,22.0%,32.9%,47.6%,31.8%,25.8%,40.3%,52.2%,38.9%,55.2%,33.3%,33.3%,10.5%,10.5%,35.3%,-8
2019 Budapest F,L vs Berrettini,15.2%,27.8%,53.8%,25.3%,19.0%,36.2%,57.4%,32.8%,19.4%,63.0%,80.0%,5.3%,5.3%,44.4%,-66
Career (35 matches),,23.9%,35.5%,51.7%,31.0%,30.0%,43.5%,53.9%,41.1%,40.7%,51.8%,50.0%,14.1%,22.7%,48.1%,17
