Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2023 Monte Carlo R64,L vs Bautista Agut,77.0%,42.9%,1.0%,0/1,2.21,9.6%,76.6%,36.7%,1.6%,2.24,15.5%,80.0%,53.6%,0.0%,2.17,0.0%
2023 Australian Open R128,L vs Rune,55.4%,54.3%,9.6%,2/6,2.19,17.6%,58.9%,48.5%,3.6%,2.17,30.8%,56.5%,69.2%,26.1%,2.21,0.0%
2022 Cincinnati R64,W vs Evans,60.7%,51.4%,0.0%,0/0,-,76.9%,59.0%,47.8%,0.0%,-,83.3%,93.3%,57.1%,0.0%,-,71.4%
2022 Wimbledon R64,L vs Kyrgios,38.6%,36.4%,12.3%,2/5,-,12.5%,27.5%,27.3%,10.0%,-,22.2%,68.8%,45.5%,18.8%,-,0.0%
2022 Queens Club F,L vs Berrettini,59.3%,37.1%,1.7%,1/0,-,25.0%,50.0%,41.2%,2.9%,-,40.7%,81.8%,33.3%,0.0%,-,0.0%
2022 Queens Club SF,W vs Cilic,56.9%,60.6%,5.2%,2/1,-,5.4%,38.7%,66.7%,3.2%,-,8.7%,95.5%,57.1%,9.1%,-,0.0%
2022 Rome R32,W vs Rublev,66.0%,54.5%,2.0%,1/0,-,0.0%,66.7%,38.9%,0.0%,-,0.0%,68.2%,73.3%,4.5%,-,0.0%
2022 Madrid R64,L vs Isner,42.1%,62.5%,2.6%,1/1,-,6.8%,31.4%,68.8%,2.0%,-,9.7%,69.6%,56.3%,4.3%,-,0.0%
2022 Indian Wells R64,L vs Monfils,46.7%,42.9%,3.3%,1/1,-,20.6%,37.9%,27.3%,0.0%,-,21.1%,63.0%,52.9%,7.4%,-,20.0%
2021 Paris R64,L vs Opelka,53.3%,28.1%,8.3%,2/3,-,16.7%,36.4%,41.7%,6.1%,-,25.0%,80.0%,20.0%,12.0%,-,6.3%
2021 Hamburg F,L vs Carreno Busta,77.6%,28.9%,8.2%,3/1,2.55,4.7%,69.2%,27.8%,11.5%,2.65,8.3%,87.0%,30.0%,4.3%,2.42,0.0%
2021 Monte Carlo R16,L vs Fognini,69.0%,37.5%,3.4%,1/1,2.54,8.6%,58.8%,40.0%,2.9%,2.50,14.3%,87.0%,35.0%,4.3%,2.61,0.0%
2021 Australian Open R32,L vs Medvedev,63.1%,50.0%,2.3%,1/2,2.39,13.2%,56.3%,40.0%,4.2%,2.33,20.0%,76.4%,59.5%,0.0%,2.51,0.0%
2021 Australian Open R128,W vs Haase,64.2%,48.5%,6.6%,4/3,2.39,27.0%,59.4%,50.0%,4.7%,2.17,47.1%,76.9%,46.7%,10.3%,2.64,3.4%
2020 Rotterdam SF,L vs Monfils,59.2%,45.2%,1.4%,0/1,2.20,11.3%,52.7%,41.4%,1.8%,2.28,15.7%,86.7%,53.8%,0.0%,2.00,0.0%
2020 Rotterdam QF,W vs Rublev,71.9%,45.7%,1.6%,0/1,2.39,8.9%,58.1%,44.0%,0.0%,2.41,18.5%,100.0%,47.6%,4.8%,2.38,0.0%
2020 Rotterdam R32,W vs Griekspoor,76.0%,52.6%,6.0%,1/2,2.45,26.7%,71.0%,40.9%,0.0%,2.13,46.7%,100.0%,68.8%,18.8%,2.77,6.7%
2019 Basel R16,W vs Fognini,58.5%,65.8%,7.7%,4/1,2.77,11.4%,36.4%,50.0%,9.1%,2.58,13.6%,89.7%,73.1%,6.9%,3.08,7.7%
2019 Stockholm F,L vs Shapovalov,38.9%,42.9%,7.4%,0/4,2.41,11.1%,13.3%,50.0%,13.3%,2.25,15.2%,81.0%,41.2%,0.0%,2.79,0.0%
2019 Budapest F,L vs Berrettini,66.1%,26.8%,1.6%,0/1,2.20,20.0%,54.8%,29.4%,0.0%,2.14,27.7%,80.0%,25.0%,3.3%,2.36,0.0%
Career (35 matches),,62.5%,46.2%,4.4%,51.4%,2.33,14.6%,54.3%,42.9%,3.8%,2.26,20.6%,81.8%,49.6%,5.9%,2.43,5.4%
