Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2023 Monte Carlo R64,L vs Bautista Agut,3.8%,75.0%,18.1%,78.9%,5.7%,8.0%,0.0%,7.1%,28.6%,2.0%,63.6%,-40,-48
2023 Australian Open R128,L vs Rune,1.1%,100.0%,7.9%,71.4%,11.6%,14.3%,0.0%,9.8%,24.0%,0.8%,0.0%,-34,-27
2022 Cincinnati R64,W vs Evans,14.0%,100.0%,13.8%,87.5%,15.1%,21.4%,0.0%,16.9%,60.0%,2.3%,25.0%,59,24
2022 Wimbledon R64,L vs Kyrgios,14.5%,58.3%,17.4%,56.0%,2.8%,0.0%,0.0%,14.3%,46.2%,1.5%,50.0%,24,-60
2022 Queens Club F,L vs Berrettini,21.0%,69.2%,19.7%,72.0%,2.3%,0.0%,0.0%,11.4%,14.3%,5.0%,57.1%,33,-17
2022 Queens Club SF,W vs Cilic,18.9%,90.0%,14.9%,82.4%,13.6%,14.3%,0.0%,18.2%,66.7%,4.6%,33.3%,-34,-88
2022 Rome R32,W vs Rublev,9.3%,60.0%,11.3%,58.3%,7.5%,7.1%,0.0%,27.5%,53.8%,4.1%,50.0%,107,69
2022 Madrid R64,L vs Isner,6.2%,25.0%,8.9%,69.2%,5.3%,33.3%,0.0%,15.9%,35.7%,4.7%,66.7%,59,-19
2022 Indian Wells R64,L vs Monfils,7.0%,66.7%,9.4%,70.0%,24.4%,33.3%,0.0%,6.3%,33.3%,2.3%,33.3%,72,2
2021 Paris R64,L vs Opelka,3.4%,0.0%,5.7%,57.1%,23.1%,33.3%,0.0%,6.0%,16.7%,2.3%,66.7%,-39,-8
2021 Hamburg F,L vs Carreno Busta,3.8%,50.0%,8.8%,66.7%,4.9%,9.1%,0.0%,6.7%,11.1%,1.4%,0.0%,-52,-57
2021 Monte Carlo R16,L vs Fognini,0.0%,-,8.8%,63.6%,7.0%,12.0%,0.0%,1.9%,15.4%,1.2%,33.3%,-69,-85
2021 Australian Open R32,L vs Medvedev,6.4%,77.8%,16.2%,84.1%,6.9%,13.4%,0.0%,8.1%,30.8%,1.2%,16.7%,-41,-50
2021 Australian Open R128,W vs Haase,4.1%,100.0%,10.6%,60.9%,11.0%,7.4%,0.0%,10.5%,36.4%,2.0%,66.7%,-30,21
2020 Rotterdam SF,L vs Monfils,2.4%,100.0%,17.2%,70.4%,9.7%,19.4%,25.0%,8.9%,28.0%,0.8%,33.3%,-40,-55
2020 Rotterdam QF,W vs Rublev,0.0%,-,12.5%,76.5%,8.3%,12.5%,0.0%,10.5%,25.8%,1.0%,33.3%,-9,-27
2020 Rotterdam R32,W vs Griekspoor,2.4%,100.0%,10.2%,90.0%,24.4%,50.0%,0.0%,22.6%,54.5%,1.6%,50.0%,31,33
2019 Basel R16,W vs Fognini,5.9%,66.7%,10.7%,69.2%,13.0%,18.2%,0.0%,14.7%,50.0%,1.5%,0.0%,-74,-49
2019 Stockholm F,L vs Shapovalov,7.4%,66.7%,15.4%,85.7%,8.2%,5.6%,0.0%,6.9%,11.1%,2.0%,0.0%,20,-11
2019 Budapest F,L vs Berrettini,0.0%,-,9.2%,100.0%,8.2%,2.7%,28.6%,3.1%,0.0%,1.6%,50.0%,-28,-43
Career (35 matches),,4.3%,70.8%,12.6%,73.4%,9.7%,15.3%,8.9%,9.7%,29.1%,1.9%,41.3%,-23,-30
