Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2016 Halle R32,L vs Mayer,22.2%,44.4%,50.9%,33.8%,28.6%,53.6%,55.0%,45.4%,40.0%,38.7%,0.0%,10.5%,31.6%,41.2%,-26
2013 US Open R128,L vs Hewitt,25.4%,29.5%,35.8%,27.1%,35.0%,40.0%,28.2%,38.5%,50.0%,33.3%,33.3%,19.2%,23.1%,42.9%,59
Career (2 matches),,24.1%,35.5%,42.0%,29.8%,31.9%,46.6%,41.8%,41.8%,45.5%,36.1%,22.2%,16.9%,25.4%,42.4%,35
