Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2017,1129,6,,,,,,,,,43,1660,30,1752
2016,245,213,148,1609,149,1555,117,1600,89,1589,69,1154,,
2013,359,118,,,,,,,,,346,180,,
2012,61,756,75,1732,98,1625,48,1751,52,1668,261,254,,
2011,456,77,,,,,,,,,,,,
2007,842,13,,,,,,,,,,,,
2005,205,181,134,1618,133,1557,122,1580,88,1552,487,79,,
2004,178,246,164,1572,140,1544,212,1453,124,1484,120,440,,
2003,422,63,,,,,,,,,400,103,,
2002,614,26,,,,,,,,,776,30,,
