Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2017 Dallas CH R32,L vs Giron,0.94,0.84,64.7,3.3,2.1%,62.5%,0.0%,48.9%,34.1%,44.7%
2016 Champaign CH R16,W vs Broady,1.09,1.78,42.0,2.1,15.4%,73.1%,0.0%,63.6%,46.7%,56.0%
2016 Champaign CH R32,W vs Quigley,0.94,1.29,78.9,4.3,11.5%,78.8%,4.3%,72.3%,36.8%,29.4%
2016 Knoxville CH R32,L vs Krajicek,0.99,0.87,80.0,4.0,1.9%,60.4%,6.7%,60.0%,48.0%,20.8%
2016 Charlottesville CH R16,L vs Smyczek,0.84,0.73,53.1,2.2,-,60.0%,-,58.8%,36.8%,33.3%
2016 Fairfield CH R16,L vs Giraldo,1.04,0.79,61.8,2.3,7.5%,64.2%,6.1%,51.0%,29.2%,34.8%
2016 Fairfield CH R32,W vs Mcdonald,1.28,1.58,46.0,3.0,3.1%,59.4%,0.0%,69.0%,36.7%,53.8%
2016 Stockton CH R16,L vs Kudla,0.97,0.91,90.1,6.8,4.8%,50.8%,5.1%,55.9%,37.7%,50.0%
2016 Stockton CH R32,W vs Polansky,1.04,1.15,66.2,21.1,8.0%,54.0%,8.9%,73.3%,36.5%,45.6%
2016 Tiburon CH R16,L vs Novikov,0.87,0.69,45.2,2.3,10.9%,63.0%,9.8%,61.0%,34.1%,25.7%
2016 Tiburon CH R32,W vs Krajicek,1.08,1.50,55.0,2.4,22.6%,80.6%,0.0%,55.6%,41.9%,44.4%
2016 US Open R128,L vs Delbonis,0.98,0.77,35.9,9.3,1.2%,61.2%,0.0%,60.8%,26.0%,35.8%
2016 Rio Olympics R64,L vs Sugita,0.91,0.85,61.3,6.2,-,54.5%,-,62.0%,53.8%,21.7%
2016 Lexington CH SF,L vs Tiafoe,0.91,0.77,43.4,4.2,7.3%,65.9%,2.6%,33.3%,36.8%,48.5%
2016 Lexington CH QF,W vs Kuznetsov,1.07,1.23,70.7,2.3,10.7%,69.6%,3.9%,70.6%,34.5%,34.0%
2016 Lexington CH R16,W vs Broady,1.22,1.70,42.0,2.0,3.4%,69.0%,0.0%,68.0%,44.8%,42.9%
2016 Lexington CH R32,W vs Evans,0.97,1.09,86.9,10.4,6.9%,56.9%,6.0%,64.0%,45.9%,42.9%
2016 Washington R32,L vs Karlovic,0.95,0.52,47.0,2.1,9.8%,56.1%,5.6%,75.0%,13.3%,25.9%
2016 Washington R64,W vs Groth,1.23,1.31,59.6,2.6,16.7%,81.0%,5.0%,65.0%,24.4%,33.3%
2016 Newport R16,L vs Baghdatis,0.79,0.36,35.5,2.1,3.3%,60.0%,3.8%,61.5%,16.7%,20.0%
2017 (1 matches),,0.94,0.84,64.7,3.3,2.1%,62.5%,0.0%,48.9%,34.1%,44.7%
2016 (33 matches),,0.99,0.94,54.9,2.7,6.8%,61.4%,4.8%,60.8%,35.7%,37.6%
2013 (9 matches),,0.99,0.89,51.7,2.8,5.5%,63.4%,5.5%,58.2%,37.2%,32.7%
2012 (37 matches),,1.02,1.09,48.9,2.6,6.6%,63.1%,4.3%,62.2%,39.5%,40.2%
Career (80 matches),,1.00,0.99,52.0,2.6,6.5%,62.4%,4.7%,61.0%,37.5%,38.3%
