Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,501,263,238,52.5%,688-625,52.4%,6588-6257,51.3%,113-123,47.9%,492,80.6%,22.2%,7.7%,5.3%,65.5%,71.8%,50.4%,64.4%,37.3%,50.7%,1.05
Clay,394,236,158,59.9%,570-424,57.3%,5057-4512,52.8%,72-70,50.7%,388,77.8%,27.9%,4.5%,4.3%,69.9%,67.9%,51.0%,62.8%,40.4%,51.3%,1.09
Grass,95,51,44,53.7%,152-133,53.3%,1509-1428,51.4%,30-35,46.2%,95,85.5%,17.5%,10.4%,5.5%,64.1%,74.9%,52.8%,67.0%,34.2%,50.7%,1.04
Carpet,17,9,8,52.9%,23-18,56.1%,214-197,52.1%,4-4,50.0%,15,84.7%,17.4%,10.6%,3.8%,67.7%,76.5%,49.1%,67.7%,34.3%,51.1%,1.06
Grand Slams,184,113,71,61.4%,395-289,57.7%,3565-3152,53.1%,57-59,49.1%,184,81.7%,24.5%,7.8%,4.9%,66.6%,71.6%,51.9%,65.0%,38.5%,51.6%,1.10
Masters,258,128,130,49.6%,302-313,49.1%,3054-3038,50.1%,59-65,47.6%,257,78.8%,22.0%,6.2%,5.2%,67.7%,70.0%,49.5%,63.4%,37.4%,50.1%,1.02
Other Tours,548,309,239,56.4%,705-571,55.3%,6450-5945,52.0%,99-101,49.5%,546,80.0%,24.3%,6.7%,4.8%,66.9%,70.6%,50.9%,64.1%,38.3%,51.0%,1.07
Best of 5,195,118,77,60.5%,416-312,57.1%,3784-3353,53.0%,59-64,48.0%,185,81.5%,24.5%,7.8%,4.9%,66.6%,71.6%,51.8%,65.0%,38.5%,51.6%,1.10
Best of 3,812,441,371,54.3%,1017-888,53.4%,9584-9041,51.5%,160-168,48.8%,805,79.7%,23.4%,6.5%,4.9%,67.2%,70.4%,50.6%,63.9%,38.0%,50.7%,1.05
Finals,23,7,16,30.4%,19-36,34.5%,234-299,43.9%,5-4,55.6%,23,70.3%,16.9%,5.0%,3.7%,70.3%,65.1%,47.6%,59.9%,34.6%,47.4%,0.86
Semi-finals,49,23,26,46.9%,62-61,50.4%,602-601,50.0%,12-11,52.2%,49,77.4%,22.7%,5.7%,5.3%,68.5%,69.6%,48.0%,62.8%,38.1%,50.2%,1.03
Quarter-finals,108,49,59,45.4%,123-133,48.0%,1240-1250,49.8%,19-23,45.2%,107,78.0%,21.9%,5.8%,4.8%,69.1%,68.3%,50.1%,62.7%,37.6%,50.0%,1.01
vs Righties,868,476,392,54.8%,1230-1046,54.0%,11545-10761,51.8%,185-200,48.1%,855,80.3%,23.4%,6.9%,4.9%,66.9%,70.7%,51.0%,64.2%,37.9%,50.9%,1.06
vs Lefties,137,81,56,59.1%,199-154,56.4%,1799-1626,52.5%,34-32,51.5%,134,79.0%,25.8%,6.4%,5.1%,67.7%,70.4%,50.0%,63.8%,39.5%,51.4%,1.09
vs Top 10,137,28,109,20.4%,109-258,29.7%,1574-2029,43.7%,32-43,42.7%,135,73.0%,15.3%,6.0%,5.0%,67.4%,66.5%,47.0%,60.2%,33.8%,47.1%,0.85
