Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,19,Hard,49,30,19,61.2%,31,17,14,54.8%,2003,2023,SF,45,1.10,8.6%,5.0%,65.7%,71.6%,50.2%,64.3%,39.4%,67.6%,42.7%
Roland Garros,19,Clay,52,33,19,63.5%,24,10,14,41.7%,2003,2022,R16,51,1.13,4.3%,3.9%,70.6%,67.3%,52.6%,63.0%,42.0%,62.5%,42.7%
Wimbledon,19,Grass,47,28,19,59.6%,40,22,18,55.0%,2003,2022,QF,44,1.06,10.4%,5.1%,64.9%,75.4%,53.8%,67.8%,34.2%,68.7%,35.8%
US Open,19,Hard,56,35,21,62.5%,30,14,16,46.7%,2003,2022,QF,53,1.09,7.7%,5.5%,65.4%,72.2%,51.4%,65.0%,38.0%,60.9%,43.2%
Olympics,1,,1,0,1,0.0%,1,0,1,0.0%,2012,2012,R64,1,0.72,8.6%,3.7%,64.2%,75.0%,58.6%,69.1%,22.2%,75.0%,0.0%
Davis Cup,7,,14,9,5,64.3%,8,3,5,37.5%,2005,2013,,0,,,,,,,,,,
Miami Masters,18,Hard,39,21,18,53.8%,21,10,11,47.6%,2003,2022,QF,39,1.02,6.6%,6.1%,65.3%,70.9%,47.4%,62.7%,37.9%,59.8%,39.1%
Madrid Masters,18,Clay,37,19,18,51.4%,14,8,6,57.1%,2003,2021,QF,36,1.03,5.9%,4.6%,68.5%,69.4%,49.2%,63.1%,38.1%,57.9%,39.8%
Paris Masters,16,Hard,30,14,16,46.7%,16,9,7,56.3%,2004,2019,QF,30,0.97,8.6%,6.0%,62.8%,73.7%,48.2%,64.2%,34.8%,61.9%,38.5%
Indian Wells Masters,15,Hard,33,18,15,54.5%,18,9,9,50.0%,2004,2018,QF,33,1.06,5.8%,4.7%,68.8%,71.7%,52.3%,65.6%,36.6%,61.5%,34.4%
Cincinnati Masters,15,Hard,23,8,15,34.8%,18,6,12,33.3%,2003,2021,R16,23,0.88,7.8%,6.9%,63.1%,71.6%,51.3%,64.1%,31.7%,66.4%,29.0%
Rome Masters,14,Clay,32,18,14,56.3%,7,5,2,71.4%,2005,2020,SF,32,1.01,4.1%,3.8%,71.1%,65.6%,48.6%,60.7%,39.9%,54.3%,38.0%
Valencia,13,Hard,30,18,12,60.0%,7,3,4,42.9%,2003,2015,W,30,1.07,4.7%,4.6%,68.2%,69.3%,51.4%,63.6%,39.1%,64.8%,45.9%
Barcelona,13,Clay,28,16,12,57.1%,5,3,2,60.0%,2003,2023,W,28,1.03,3.5%,3.5%,73.6%,65.8%,50.2%,61.7%,39.6%,61.4%,35.7%
Monte Carlo Masters,13,Clay,23,10,13,43.5%,9,2,7,22.2%,2005,2019,F,23,1.03,2.7%,5.0%,70.2%,65.8%,47.8%,60.4%,40.8%,53.1%,40.1%
Bastad,12,Clay,34,22,12,64.7%,6,3,3,50.0%,2004,2019,F,34,1.17,4.9%,5.2%,66.6%,69.8%,51.1%,63.5%,42.7%,65.2%,42.5%
Beijing,10,Hard,17,7,10,41.2%,5,3,2,60.0%,2008,2019,QF,17,1.03,6.2%,5.7%,65.3%,71.3%,49.9%,63.9%,37.1%,52.0%,32.6%
