Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2022 US Open R128,L vs Kwon,44,44,1.0,18.0%,18.0%,30,40,0.8,14.3%,19.0%,10.0%,4.3%,1.8,13.1%,7.4%
2022 Wimbledon R128,L vs Paul,16,42,0.4,9.5%,24.9%,10,37,0.3,6.4%,23.7%,2.6%,2.6%,0.9,11.8%,13.6%
2021 Wimbledon R128,L vs Dimitrov,34,38,0.9,14.7%,16.4%,21,35,0.6,10.5%,17.5%,8.5%,2.0%,1.1,17.7%,15.9%
2021 Roland Garros R128,L vs Kohlschreiber,33,40,0.8,13.0%,15.7%,33,40,0.8,14.8%,17.9%,,,1.1,9.8%,9.1%
2020 Australian Open R32,L vs Zverev,15,31,0.5,9.0%,18.7%,15,31,0.5,10.5%,21.7%,,,1.0,11.4%,11.4%
2020 Australian Open R64,W vs Basilashvili,28,48,0.6,10.5%,18.0%,28,48,0.6,11.7%,20.1%,,,0.5,8.6%,18.7%
2020 Australian Open R128,W vs Donskoy,16,12,1.3,10.2%,7.6%,16,12,1.3,11.5%,8.6%,,,0.5,9.6%,18.5%
2019 US Open R64,L vs Chung,49,65,0.8,16.8%,22.3%,39,59,0.7,15.1%,22.8%,10.4%,3.5%,0.8,14.4%,17.8%
2019 US Open R128,W vs Kamke,41,34,1.2,19.7%,16.3%,29,27,1.1,16.0%,14.9%,12.2%,2.2%,0.8,13.9%,17.8%
2019 Kitzbuhel QF,L vs Sonego,12,30,0.4,9.8%,24.4%,12,25,0.5,10.3%,21.6%,9.5%,0.9%,0.8,8.1%,10.6%
2019 Wimbledon R16,L vs Goffin,50,48,1.0,19.6%,18.8%,32,42,0.8,14.5%,19.1%,10.0%,3.2%,1.2,12.9%,11.0%
2019 Wimbledon R32,W vs Fabbiano,37,45,0.8,17.8%,21.6%,25,39,0.6,13.6%,21.2%,9.8%,2.2%,0.6,8.7%,14.9%
2019 Wimbledon R64,W vs Edmund,56,36,1.6,18.6%,12.0%,40,26,1.5,15.0%,9.8%,10.9%,3.8%,0.8,13.3%,15.9%
2019 Wimbledon R128,W vs Majchrzak,37,16,2.3,21.8%,9.4%,25,12,2.1,17.1%,8.2%,11.6%,5.5%,1.3,14.1%,11.2%
2019 Queen's Club R32,L vs Medvedev,23,30,0.8,20.2%,26.3%,16,24,0.7,17.2%,25.8%,17.2%,0.0%,2.0,15.8%,7.9%
2019 Roland Garros R64,L vs Hoang,35,35,1.0,11.9%,11.9%,35,35,1.0,13.0%,13.0%,,,1.0,14.6%,13.9%
2019 Roland Garros R128,W vs Evans,50,47,1.1,18.7%,17.6%,50,47,1.1,20.1%,18.9%,,,0.6,8.6%,13.5%
2019 Barcelona R64,W vs Lopez,14,19,0.7,12.3%,16.7%,12,16,0.8,11.9%,15.8%,5.9%,5.9%,0.6,14.9%,25.4%
2019 Dubai R16,L vs Federer,14,23,0.6,9.5%,15.5%,11,19,0.6,8.5%,14.7%,6.2%,2.3%,1.4,23.0%,16.9%
2019 Rotterdam R16,L vs Medvedev,18,45,0.4,13.4%,33.6%,17,43,0.4,13.3%,33.6%,8.6%,3.1%,0.4,6.0%,15.7%
Career (127 matches),,4718,4861,1.0,17.5%,18.0%,3725,4287,0.9,15.5%,17.8%,7.2%,2.8%,0.9,13.5%,14.7%
