Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2023,651,49,207,1533,180,1519,167,1527,146,1500,,,,
2022,124,460,163,1603,144,1578,127,1599,117,1549,,,,
2021,154,440,127,1658,114,1627,99,1647,76,1613,,,,
2020,65,975,90,1698,57,1712,67,1695,,,472,90,,
2019,49,1025,47,1808,46,1766,37,1772,37,1700,192,360,98,1595
2018,28,1410,28,1845,26,1803,24,1815,37,1698,80,1065,61,1687
2017,35,1295,37,1844,37,1787,31,1820,36,1722,66,1260,40,1739
2016,42,1035,48,1806,53,1738,34,1798,38,1723,169,450,56,1699
2015,49,900,43,1826,42,1763,35,1793,29,1749,99,810,35,1761
2014,33,1135,32,1867,33,1793,24,1847,21,1780,37,1870,27,1780
2013,30,1235,26,1882,30,1804,23,1861,18,1803,8,4580,11,1844
2012,24,1490,23,1902,27,1838,15,1888,27,1770,29,2250,22,1764
2011,24,1550,17,1939,20,1863,12,1936,21,1790,393,140,117,1540
2010,9,3240,14,1954,16,1881,8,1967,17,1790,201,360,,
2009,9,3300,10,2014,11,1957,9,1976,9,1844,84,920,44,1702
2008,16,1415,20,1914,24,1834,17,1897,11,1820,51,1090,53,1679
2007,26,1050,22,1904,23,1834,18,1863,23,1768,112,475,56,1629
2006,35,910,43,1817,51,1731,31,1813,34,1721,228,246,97,1547
2005,32,935,33,1857,36,1771,21,1838,46,1689,83,680,51,1660
2004,36,938,58,1790,67,1706,37,1786,54,1662,89,675,59,1636
2003,109,366,142,1609,118,1580,120,1603,101,1563,872,23,,
2002,173,208,182,1570,169,1534,184,1513,,,578,52,,
2001,464,51,,,,,,,,,542,59,,
2000,1332,1,,,,,,,,,,,,
1999,1026,5,,,,,,,,,,,,
