Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,54,39,15,72.2%,88-42,67.7%,722-552,56.7%,10-13,43.5%,52,84.5%,28.8%,11.7%,5.7%,64.4%,75.6%,48.9%,66.0%,40.9%,53.1%,1.20
Clay,11,7,4,63.6%,14-12,53.8%,132-119,52.6%,1-0,100.0%,10,72.8%,32.0%,6.4%,5.0%,59.1%,70.7%,45.8%,60.5%,42.3%,51.1%,1.07
Grass,8,5,3,62.5%,11-8,57.9%,110-97,53.1%,2-6,25.0%,8,94.0%,14.1%,12.8%,5.8%,64.5%,78.3%,50.9%,68.6%,31.8%,50.2%,1.01
Grand Slams,7,3,4,42.9%,14-15,48.3%,150-141,51.5%,2-4,33.3%,7,75.5%,27.5%,10.6%,5.6%,63.4%,71.2%,45.8%,61.9%,39.5%,50.7%,1.03
Masters,31,21,10,67.7%,43-26,62.3%,366-311,54.1%,7-5,58.3%,29,81.3%,26.7%,8.4%,5.3%,62.1%,74.2%,47.6%,64.1%,40.2%,51.8%,1.12
Other Tours,35,27,8,77.1%,56-21,72.7%,448-316,58.6%,4-10,28.6%,34,89.4%,28.4%,13.6%,6.0%,65.2%,77.8%,50.8%,68.4%,40.2%,53.8%,1.27
Best of 5,7,3,4,42.9%,14-15,48.3%,150-141,51.5%,2-4,33.3%,7,75.5%,27.5%,10.6%,5.6%,63.4%,71.2%,45.8%,61.9%,39.5%,50.7%,1.03
Best of 3,66,48,18,72.7%,99-47,67.8%,814-627,56.5%,11-15,42.3%,63,85.6%,27.6%,11.1%,5.7%,63.7%,76.1%,49.2%,66.3%,40.2%,52.9%,1.19
Finals,5,3,2,60.0%,4-5,44.4%,51-49,51.0%,1-3,25.0%,4,89.6%,14.6%,11.2%,4.3%,64.6%,72.1%,55.3%,66.1%,30.7%,49.3%,0.91
Semi-finals,7,5,2,71.4%,12-5,70.6%,98-78,55.7%,2-2,50.0%,7,85.4%,23.0%,12.6%,4.8%,62.2%,74.0%,53.5%,66.3%,39.7%,52.4%,1.18
Quarter-finals,12,7,5,58.3%,17-11,60.7%,158-122,56.4%,0-5,0.0%,12,92.0%,22.6%,10.9%,6.0%,64.2%,78.5%,50.0%,68.3%,37.3%,53.0%,1.18
vs Righties,57,41,16,71.9%,88-47,65.2%,747-591,55.8%,11-16,40.7%,54,84.9%,27.4%,11.2%,5.7%,63.2%,75.8%,48.8%,65.8%,39.6%,52.5%,1.16
vs Lefties,16,10,6,62.5%,25-15,62.5%,217-177,55.1%,2-3,40.0%,16,80.7%,28.1%,10.4%,5.5%,65.2%,73.4%,47.9%,64.5%,41.6%,52.4%,1.17
vs Top 10,9,5,4,55.6%,11-9,55.0%,108-100,51.9%,2-4,33.3%,9,85.1%,19.8%,8.4%,4.1%,61.1%,73.6%,53.0%,65.6%,35.0%,50.5%,1.02
